SID,Familiarity,Trial,Repetition,ImgCat,Loc,Resp,Corr,RT,ImgName
1,1,1,2,1,3,1,1,1135.99,actor9.jpg
1,1,2,2,1,4,1,1,692.29,athlete13.jpg
1,1,3,1,2,3,2,1,536.67,famfemale01.jpg
1,1,4,1,1,2,1,1,789.05,actor53.jpg
1,1,5,2,1,3,1,1,1257.4,actor7.jpg
1,1,6,2,1,1,1,1,789.79,capture003 copy.jpg
1,1,7,1,2,2,2,1,690.14,famfemale39.jpg
1,1,8,2,2,1,2,1,662.56,famfemale24.jpg
1,1,9,2,2,4,2,1,602.92,famfemale29.jpg
1,1,10,1,2,2,2,1,423.24,famfemale36.jpg
1,1,11,2,2,3,2,1,635.7,famfemale37.jpg
1,1,12,1,2,1,2,1,591.98,famfemale02.jpg
1,1,13,2,2,3,2,1,900.37,famfemale11.jpg
1,1,14,1,1,1,1,1,840.8,capture027 copy.jpg
1,1,15,2,1,1,1,1,660.88,actor54.jpg
1,1,16,2,2,3,2,1,809.53,famfemale19.jpg
1,1,17,1,2,2,2,1,565.92,famfemale38.jpg
1,1,18,1,1,3,1,1,682.28,actorprac1.jpg
1,1,19,2,2,2,2,1,758.65,famfemale26.jpg
1,1,20,2,2,4,2,1,747.02,famfemale04.jpg
1,1,21,2,1,4,1,1,839.37,athlete7.jpg
1,1,22,2,2,2,2,1,803.67,famfemale23.jpg
1,1,23,1,2,4,2,1,808.04,famfemale22.jpg
1,1,24,1,2,3,2,1,820.46,famfemale08.jpg
1,1,25,2,2,2,2,1,472.77,famfemale18.jpg
1,1,26,1,1,1,1,1,645.19,capture025 copy.jpg
1,1,27,1,1,2,1,1,593.58,athlete28.jpg
1,1,28,2,2,4,2,1,797.95,famfemale06.jpg
1,1,29,2,1,3,1,1,842.31,capture026 copy.jpg
1,1,30,1,2,4,2,1,782.5,famfemale40.jpg
1,1,31,2,1,2,1,1,515.02,actor12.jpg
1,1,32,1,2,1,2,1,783.44,famfemale34.jpg
1,1,33,1,1,1,1,1,635.75,actor51.jpg
1,1,34,1,2,4,2,1,600.11,famfemale30.jpg
1,1,35,2,2,1,2,1,620.46,famfemale09.jpg
1,1,36,1,2,1,2,1,544.85,famfemale21.jpg
1,1,37,1,1,2,1,1,805.28,actor49.jpg
1,1,38,2,2,1,2,1,825.65,famfemale32.jpg
1,1,39,1,1,4,1,1,694.01,actor17.jpg
1,1,40,2,1,1,1,1,850.39,actor41.jpg
1,1,41,1,1,3,1,1,998.72,athlete1.jpg
1,1,42,2,1,4,1,1,579.07,actor35.jpg
1,1,43,2,1,2,1,1,735.49,actor19.jpg
1,1,44,1,1,4,1,1,739.84,capture008 copy.jpg
1,1,45,2,1,2,1,1,632.04,actor44.jpg
1,1,46,1,1,3,1,1,684.58,athlete6.jpg
1,1,47,1,2,3,2,1,880.93,famfemale12.jpg
1,1,48,1,1,4,1,1,661.29,actor14.jpg
2,1,1,2,1,3,1,1,886.64,athlete6.jpg
2,1,2,2,1,1,1,1,586.93,actor14.jpg
2,1,3,1,1,4,1,1,1215.32,capture026 copy.jpg
2,1,4,1,2,4,2,1,867.74,famfemale40.jpg
2,1,5,2,2,2,2,1,1368.09,famfemale04.jpg
2,1,6,2,1,2,1,1,1276.4,athlete28.jpg
2,1,7,1,2,3,2,1,1344.84,famfemale01.jpg
2,1,8,1,2,2,2,1,1461.16,famfemale22.jpg
2,1,9,2,2,2,2,1,929.56,famfemale18.jpg
2,1,10,1,1,2,1,1,1077.89,athlete7.jpg
2,1,11,2,2,4,2,1,1434.26,famfemale37.jpg
2,1,12,2,2,3,2,1,2134.5,famfemale19.jpg
2,1,13,2,2,1,2,1,1162.99,famfemale24.jpg
2,1,14,1,2,1,2,1,855.36,famfemale30.jpg
2,1,15,2,1,4,1,1,1915.76,actor53.jpg
2,1,16,1,1,1,1,1,2008.12,actor19.jpg
2,1,17,1,1,1,1,1,1388.43,capture003 copy.jpg
2,1,18,1,2,1,2,1,1448.87,famfemale12.jpg
2,1,19,2,2,2,2,1,2101.2,famfemale32.jpg
2,1,20,1,2,4,2,1,1585.57,famfemale34.jpg
2,1,21,2,2,3,2,1,1845.91,famfemale06.jpg
2,1,22,1,1,3,1,1,1738.37,actor35.jpg
2,1,23,2,1,4,1,1,1542.64,actor17.jpg
2,1,24,1,2,2,2,1,1675.07,famfemale08.jpg
2,1,25,2,2,4,0,0,0,famfemale23.jpg
2,1,26,1,2,4,2,1,763.82,famfemale21.jpg
2,1,27,2,2,3,2,1,1311.96,famfemale09.jpg
2,1,28,1,1,3,1,1,1188.47,actor44.jpg
2,1,29,2,1,3,1,1,1160.88,actorprac1.jpg
2,1,30,1,2,2,2,1,1229.3,famfemale38.jpg
2,1,31,1,2,1,1,0,1225.66,famfemale02.jpg
2,1,32,1,1,4,1,1,942.04,actor41.jpg
2,1,33,1,2,3,2,1,1690.39,famfemale39.jpg
2,1,34,1,1,4,1,1,1278.77,actor12.jpg
2,1,35,1,1,3,1,1,1091.09,actor7.jpg
2,1,36,2,1,2,1,1,903.46,capture008 copy.jpg
2,1,37,1,2,3,2,1,1459.85,famfemale36.jpg
2,1,38,2,1,1,1,1,1520.22,capture025 copy.jpg
2,1,39,2,1,2,1,1,1332.58,capture027 copy.jpg
2,1,40,2,1,3,1,1,1136.96,athlete1.jpg
2,1,41,2,2,4,2,1,1517.3,famfemale11.jpg
2,1,42,2,2,1,2,1,1665.44,famfemale29.jpg
2,1,43,2,1,1,1,1,1070.04,actor51.jpg
2,1,44,2,1,4,1,1,1346.38,actor49.jpg
2,1,45,1,1,2,1,1,814.74,actor9.jpg
2,1,46,1,1,1,1,1,923.17,actor54.jpg
2,1,47,2,2,1,1,0,991.46,famfemale26.jpg
2,1,48,1,1,2,1,1,771.91,athlete13.jpg
3,1,1,2,2,3,2,1,1076.23,famfemale40.jpg
3,1,2,1,1,1,1,1,792.56,athlete1.jpg
3,1,3,1,2,1,1,0,636.98,famfemale32.jpg
3,1,4,2,2,2,2,1,937.36,famfemale02.jpg
3,1,5,1,1,3,1,1,909.71,actor49.jpg
3,1,6,2,2,3,2,1,794.04,famfemale34.jpg
3,1,7,1,2,1,2,1,734.4,famfemale09.jpg
3,1,8,2,1,1,1,1,770.86,actor12.jpg
3,1,9,2,1,4,1,1,823.16,actor54.jpg
3,1,10,1,1,1,1,1,539.51,actorprac1.jpg
3,1,11,1,2,2,2,1,615.9,famfemale18.jpg
3,1,12,2,1,3,1,1,748.32,capture026 copy.jpg
3,1,13,2,2,1,2,1,624.44,famfemale22.jpg
3,1,14,1,2,4,2,1,877.07,famfemale19.jpg
3,1,15,2,2,4,2,1,857.42,famfemale08.jpg
3,1,16,1,1,2,1,1,789.77,capture025 copy.jpg
3,1,17,2,2,4,2,1,906.11,famfemale12.jpg
3,1,18,2,2,1,2,1,902.49,famfemale38.jpg
3,1,19,1,1,4,1,1,882.9,athlete6.jpg
3,1,20,2,1,3,1,1,871.23,actor44.jpg
3,1,21,1,1,1,1,1,963.64,actor14.jpg
3,1,22,2,2,2,2,1,719.94,famfemale21.jpg
3,1,23,1,1,2,1,1,932.32,capture027 copy.jpg
3,1,24,2,1,2,1,1,1104.73,capture003 copy.jpg
3,1,25,1,2,2,2,1,909.12,famfemale24.jpg
3,1,26,2,1,4,1,1,1089.45,actor19.jpg
3,1,27,1,2,2,2,1,829.82,famfemale37.jpg
3,1,28,1,2,3,2,1,809.94,famfemale26.jpg
3,1,29,1,1,3,1,1,878.53,actor17.jpg
3,1,30,1,1,4,1,1,1002.67,actor51.jpg
3,1,31,2,1,3,1,1,743.26,athlete7.jpg
3,1,32,1,1,4,1,1,699.63,actor53.jpg
3,1,33,1,2,4,2,1,623.99,famfemale06.jpg
3,1,34,2,1,1,1,1,716.44,actor9.jpg
3,1,35,2,1,2,1,1,808.73,actor7.jpg
3,1,36,2,2,3,2,1,829.09,famfemale01.jpg
3,1,37,1,1,2,1,1,721.52,capture008 copy.jpg
3,1,38,2,1,1,1,1,789.84,athlete13.jpg
3,1,39,1,2,4,2,1,714.21,famfemale23.jpg
3,1,40,1,2,3,2,1,686.59,famfemale29.jpg
3,1,41,2,2,4,2,1,738.97,famfemale30.jpg
3,1,42,2,2,2,2,1,679.32,famfemale39.jpg
3,1,43,1,2,3,2,1,739.72,famfemale11.jpg
3,1,44,1,1,3,1,1,712.07,athlete28.jpg
3,1,45,2,1,2,1,1,644.22,actor35.jpg
3,1,46,1,2,1,2,1,632.77,famfemale04.jpg
3,1,47,2,2,1,2,1,589.14,famfemale36.jpg
3,1,48,2,1,4,1,1,633.49,actor41.jpg
4,1,1,2,1,2,1,1,874.97,capture025 copy.jpg
4,1,2,1,2,3,2,1,703.33,famfemale40.jpg
4,1,3,2,2,2,2,1,1011.51,famfemale19.jpg
4,1,4,2,2,2,2,1,944.01,famfemale09.jpg
4,1,5,1,2,1,2,1,1004.38,famfemale08.jpg
4,1,6,1,1,3,1,1,856.84,actor44.jpg
4,1,7,2,2,2,2,1,1277.18,famfemale32.jpg
4,1,8,2,1,3,1,1,1009.49,athlete6.jpg
4,1,9,2,1,4,1,1,1013.85,capture027 copy.jpg
