SID,Familiarity,Trial,Repetition,AscLoc,ScrResp,Corr,RT,Confident,ImgName
1,1,1,1,1,1,1,3065.59,2,famfemale21.jpg
1,1,2,1,2,3,0,2146.18,2,athlete28.jpg
1,1,3,2,3,1,0,2411.76,3,famfemale37.jpg
1,1,4,1,3,2,0,1512.09,3,athlete1.jpg
1,1,5,2,2,3,0,2817.44,1,famfemale26.jpg
1,1,6,1,2,2,1,1427.23,4,actor49.jpg
1,1,7,2,3,1,0,2289.84,4,famfemale19.jpg
1,1,8,2,4,4,1,4182.33,4,athlete7.jpg
1,1,9,2,1,1,1,1606.19,3,famfemale09.jpg
1,1,10,2,4,4,1,999.39,4,actor35.jpg
1,1,11,1,2,3,0,1608.5,1,famfemale39.jpg
1,1,12,2,4,2,0,1519.1,3,athlete13.jpg
1,1,13,2,2,2,1,1362.93,4,actor19.jpg
1,1,14,1,2,2,1,2062.96,1,famfemale38.jpg
1,1,15,1,3,3,1,904.46,4,famfemale08.jpg
1,1,16,1,4,4,1,1188.14,2,famfemale40.jpg
1,1,17,2,2,2,1,1458.63,3,actor12.jpg
1,1,18,1,4,2,0,2489.39,1,actor14.jpg
1,1,19,2,4,4,1,680.55,4,famfemale04.jpg
1,1,20,1,3,3,1,2337.41,2,famfemale01.jpg
1,1,21,2,3,3,1,1134.01,3,capture026 copy.jpg
1,1,22,1,4,4,1,993.83,3,famfemale30.jpg
1,1,23,1,1,2,0,1539.02,3,capture027 copy.jpg
1,1,24,2,1,1,1,1679.01,3,famfemale32.jpg
1,1,25,1,3,1,0,1520.34,2,famfemale12.jpg
1,1,26,2,1,1,1,2199.07,2,actor41.jpg
1,1,27,2,2,2,1,1267.47,4,actor44.jpg
1,1,28,1,1,4,0,2047.81,1,famfemale02.jpg
1,1,29,2,4,4,1,985.27,4,famfemale06.jpg
1,1,30,2,4,3,0,1282.19,1,famfemale29.jpg
1,1,31,1,3,2,0,2203.24,1,actorprac1.jpg
1,1,32,2,3,3,1,1215.21,2,famfemale11.jpg
1,1,33,2,3,1,0,1704.77,1,actor9.jpg
1,1,34,2,1,2,0,1194.09,3,capture003 copy.jpg
1,1,35,2,1,1,1,1277.79,2,actor54.jpg
1,1,36,1,2,2,1,1353.8,2,actor53.jpg
1,1,37,1,3,3,1,1128.16,3,athlete6.jpg
1,1,38,2,2,4,0,1977.51,1,famfemale18.jpg
1,1,39,1,4,1,0,1176.51,1,famfemale22.jpg
1,1,40,2,3,2,0,1708.13,2,actor7.jpg
1,1,41,1,1,1,1,1141.5,2,famfemale34.jpg
1,1,42,1,2,2,1,993.26,4,famfemale36.jpg
1,1,43,1,1,2,0,1735.64,3,capture025 copy.jpg
1,1,44,2,2,3,0,1136.88,1,famfemale23.jpg
1,1,45,1,4,3,0,1231.21,1,capture008 copy.jpg
1,1,46,1,1,1,1,1130.86,1,actor51.jpg
1,1,47,2,1,1,1,1294.52,1,famfemale24.jpg
1,1,48,1,4,2,0,1858.44,2,actor17.jpg
2,1,1,2,1,4,0,5686.28,4,actor14.jpg
2,1,2,1,4,2,0,37764.58,2,actor41.jpg
2,1,3,1,3,3,1,7669.33,4,actor44.jpg
2,1,4,1,1,3,0,5271.15,4,famfemale12.jpg
2,1,5,1,1,1,1,5087.52,4,famfemale02.jpg
2,1,6,2,4,4,1,5045.06,3,famfemale11.jpg
2,1,7,2,4,3,0,4549.79,3,actor49.jpg
2,1,8,2,4,3,0,8912.7,3,actor53.jpg
2,1,9,2,3,3,1,1730.77,4,athlete6.jpg
2,1,10,2,2,2,1,11977.47,2,capture008 copy.jpg
2,1,11,2,3,3,1,6490.44,4,athlete1.jpg
2,1,12,2,1,1,1,1883.26,4,capture025 copy.jpg
2,1,13,1,4,2,0,6039.59,4,famfemale34.jpg
2,1,14,2,1,1,1,2562.82,4,actor51.jpg
2,1,15,2,1,1,1,4375.2,4,famfemale29.jpg
2,1,16,2,2,2,1,1614.93,4,famfemale18.jpg
2,1,17,2,2,2,1,4376.21,4,capture027 copy.jpg
2,1,18,1,4,4,1,4077.42,4,capture026 copy.jpg
2,1,19,1,3,3,1,3317.29,3,famfemale36.jpg
2,1,20,1,2,2,1,3471.44,4,athlete7.jpg
2,1,21,2,2,2,1,2055.36,4,famfemale04.jpg
2,1,22,1,3,3,1,5094.49,4,famfemale39.jpg
2,1,23,1,1,1,1,5777.39,4,actor54.jpg
2,1,24,2,2,3,0,3364.55,2,famfemale32.jpg
2,1,25,1,1,3,0,6774.96,2,actor19.jpg
2,1,26,2,3,4,0,1954.49,2,actorprac1.jpg
2,1,27,1,2,2,1,5444.29,3,famfemale22.jpg
