SID,RepTime,Trial,ImgCat,Resp,Corr,RT,ImgName
1,1,1,2,1,0,699.85,unfamfemale37.jpg
1,1,2,1,1,1,511.25,capture010 copy.jpg
1,1,3,1,1,1,440.06,unfammale08.jpg
1,1,4,2,1,0,392.8,unfamfemale32.jpg
1,1,5,2,2,1,489.64,unfamfemale10.jpg
1,1,6,1,1,1,506.39,unfammale02.jpg
1,1,7,1,1,1,531.21,unfammale25.jpg
1,1,8,2,2,1,451.99,capture015 copy.jpg
1,1,9,1,1,1,540.8,unfammale19.jpg
1,1,10,2,2,1,549.58,capture021 copy.jpg
1,1,11,1,1,1,502.37,unfammale05.jpg
1,1,12,1,1,1,607.09,unfammale23.jpg
1,1,13,1,1,1,591.92,unfammale14.jpg
1,1,14,2,2,1,432.72,capture005 copy.jpg
1,1,15,1,1,1,441.44,unfammale39.jpg
1,1,16,2,2,1,426.29,unfamfemale04.jpg
1,1,17,2,2,1,483.07,unfamfemale08.jpg
1,1,18,2,2,1,619.81,unfamfemale21.jpg
1,1,19,1,1,1,604.65,unfammale18.jpg
1,1,20,1,1,1,485.37,unfammale21.jpg
1,1,21,2,2,1,646.17,unfamfemale17.jpg
1,1,22,2,2,1,534.92,unfamfemale40.jpg
1,1,23,1,1,1,519.73,unfammale38.jpg
1,1,24,2,2,1,488.53,unfamfemale01.jpg
1,2,1,1,1,1,576.52,unfammale05.jpg
1,2,2,2,2,1,521.32,unfamfemale04.jpg
1,2,3,1,1,1,482.09,unfammale02.jpg
1,2,4,2,2,1,410.89,unfamfemale08.jpg
1,2,5,2,2,1,475.63,unfamfemale10.jpg
1,2,6,2,2,1,516.46,unfamfemale32.jpg
1,2,7,2,2,1,613.24,unfamfemale01.jpg
1,2,8,1,1,1,534.01,unfammale19.jpg
1,2,9,2,2,1,502.79,unfamfemale21.jpg
1,2,10,1,1,1,415.61,unfammale21.jpg
1,2,11,1,1,1,472.39,capture010 copy.jpg
1,2,12,2,2,1,489.12,unfamfemale17.jpg
1,2,13,1,1,1,433.94,unfammale08.jpg
1,2,14,2,2,1,482.68,capture015 copy.jpg
1,2,15,1,1,1,515.53,unfammale25.jpg
1,2,16,1,1,1,492.29,unfammale14.jpg
1,2,17,1,1,1,461.07,unfammale18.jpg
1,2,18,1,1,1,469.83,unfammale38.jpg
1,2,19,2,2,1,470.67,capture021 copy.jpg
1,2,20,2,2,1,519.45,unfamfemale40.jpg
1,2,21,1,1,1,680.25,unfammale39.jpg
1,2,22,2,2,1,553.03,unfamfemale37.jpg
1,2,23,1,1,1,617.81,unfammale23.jpg
1,2,24,2,2,1,602.58,capture005 copy.jpg
1,3,1,2,2,1,461.46,unfamfemale40.jpg
1,3,2,2,2,1,502.27,unfamfemale04.jpg
1,3,3,1,1,1,543.07,unfammale39.jpg
1,3,4,1,1,1,471.81,unfammale25.jpg
1,3,5,1,1,1,456.63,unfammale05.jpg
1,3,6,2,2,1,473.42,capture021 copy.jpg
1,3,7,1,1,1,522.19,capture010 copy.jpg
1,3,8,1,1,1,459.01,unfammale18.jpg
1,3,9,2,2,1,515.8,unfamfemale17.jpg
1,3,10,2,2,1,476.58,capture015 copy.jpg
1,3,11,2,2,1,501.31,unfamfemale37.jpg
1,3,12,2,2,1,454.14,unfamfemale10.jpg
1,3,13,1,1,1,478.92,unfammale19.jpg
1,3,14,1,1,1,455.72,unfammale23.jpg
1,3,15,2,2,1,456.46,unfamfemale01.jpg
1,3,16,1,1,1,577.3,unfammale38.jpg
1,3,17,2,2,1,466.08,unfamfemale08.jpg
1,3,18,1,1,1,482.81,unfammale21.jpg
1,3,19,2,2,1,611.65,unfamfemale32.jpg
1,3,20,2,2,1,508.44,capture005 copy.jpg
1,3,21,1,1,1,517.22,unfammale08.jpg
1,3,22,2,2,1,646.01,unfamfemale21.jpg
1,3,23,1,1,1,542.79,unfammale02.jpg
1,3,24,1,1,1,695.58,unfammale14.jpg
1,4,1,1,1,1,598.96,unfammale23.jpg
1,4,2,2,2,1,567.77,unfamfemale01.jpg
1,4,3,1,1,1,512.56,unfammale19.jpg
1,4,4,1,1,1,505.34,unfammale14.jpg
1,4,5,2,2,1,514.1,unfamfemale32.jpg
1,4,6,1,1,1,410.89,unfammale18.jpg
1,4,7,1,1,1,403.69,unfammale05.jpg
1,4,8,2,2,1,372.48,capture015 copy.jpg
1,4,9,2,2,1,453.24,capture005 copy.jpg
1,4,10,2,2,1,470.05,capture021 copy.jpg
1,4,11,2,2,1,558.83,unfamfemale04.jpg
1,4,12,2,2,1,783.62,unfamfemale08.jpg
1,4,13,1,1,1,456.38,unfammale21.jpg
1,4,14,1,1,1,473.18,unfammale39.jpg
1,4,15,1,1,1,433.98,unfammale08.jpg
1,4,16,1,1,1,634.74,unfammale38.jpg
1,4,17,2,2,1,435.55,unfamfemale40.jpg
1,4,18,1,1,1,468.31,capture010 copy.jpg
1,4,19,2,2,1,493.12,unfamfemale17.jpg
1,4,20,2,2,1,477.91,unfamfemale10.jpg
1,4,21,1,1,1,510.65,unfammale25.jpg
1,4,22,2,2,1,559.45,unfamfemale21.jpg
1,4,23,1,1,1,432.23,unfammale02.jpg
1,4,24,2,2,1,497.01,unfamfemale37.jpg
1,5,1,1,1,1,590.01,unfammale18.jpg
1,5,2,2,2,1,438.77,unfamfemale17.jpg
1,5,3,2,2,1,463.61,unfamfemale08.jpg
1,5,4,1,1,1,408.37,unfammale08.jpg
1,5,5,2,2,1,601.14,unfamfemale01.jpg
1,5,6,1,1,1,521.97,capture010 copy.jpg
1,5,7,2,2,1,762.75,unfamfemale40.jpg
1,5,8,1,1,1,531.53,unfammale02.jpg
1,5,9,1,1,1,724.29,unfammale23.jpg
1,5,10,2,2,1,629.11,unfamfemale21.jpg
1,5,11,1,1,1,669.83,unfammale19.jpg
1,5,12,2,2,1,974.69,unfamfemale10.jpg
1,5,13,2,2,1,447.41,unfamfemale04.jpg
1,5,14,2,2,1,464.21,capture005 copy.jpg
1,5,15,1,1,1,448.97,unfammale39.jpg
1,5,16,2,2,1,505.79,capture015 copy.jpg
1,5,17,1,1,1,474.59,unfammale38.jpg
1,5,18,1,1,1,475.39,unfammale05.jpg
1,5,19,1,1,1,428.16,unfammale14.jpg
1,5,20,2,2,1,452.93,capture021 copy.jpg
1,5,21,2,2,1,533.75,unfamfemale37.jpg
1,5,22,1,1,1,462.53,unfammale21.jpg
