SID,RepTime,Trial,Resp,Corr,RT,ImgName
1,1,1,2,1,1226.19,nonwin2_8.png
1,1,2,2,1,752.28,nonwin2_4.png
1,1,3,2,1,673,nonwex4.png
1,1,4,2,1,745.71,nonwex2_9.png
1,1,5,2,1,634.42,nonwin7.png
1,1,6,2,1,667.2,nonwex8.png
1,1,7,2,1,691.93,nonwin8.png
1,1,8,2,1,764.61,nonwin2_2.png
1,1,9,2,1,653.33,nonwex2.png
1,1,10,1,1,734.11,nonwex2_5.png
1,1,11,2,1,729.53,nonwex3.png
1,1,12,2,1,620.88,nonwex2_7.png
1,1,13,2,1,688.31,nonwex2_8.png
1,1,14,2,1,683.66,nonwex11.png
1,1,15,2,1,655.1,nonwex2_11.png
1,1,16,2,1,714.55,nonwin2.png
1,1,17,1,1,701.95,nonwin2_1.png
1,1,18,2,1,601.32,nonwin1.png
1,1,19,2,1,604.72,nonwin6.png
1,1,20,2,1,696.11,nonwex2_6.png
1,1,21,2,1,787.52,nonwin2_7.png
1,1,22,2,1,550.96,nonwex6.png
1,1,23,2,1,722.36,nonwin12.png
1,1,24,2,1,589.78,nonwin2_11.png
1,2,1,1,1,666.42,nonwex2_9.png
1,2,2,2,1,539.14,nonwex3.png
1,2,3,1,1,627.89,nonwex2_5.png
1,2,4,2,1,476.64,nonwin2.png
1,2,5,1,1,725.37,nonwin1.png
1,2,6,2,1,454.06,nonwin8.png
1,2,7,1,1,566.86,nonwin7.png
1,2,8,1,1,599.6,nonwin2_1.png
1,2,9,2,1,512.3,nonwin12.png
1,2,10,2,1,481.02,nonwex8.png
1,2,11,2,1,505.78,nonwex6.png
1,2,12,2,1,658.49,nonwin2_2.png
1,2,13,2,1,659.25,nonwex2_6.png
1,2,14,2,1,779.98,nonwin2_8.png
1,2,15,2,1,764.68,nonwex11.png
1,2,16,2,1,669.46,nonwin6.png
1,2,17,2,1,542.2,nonwex2.png
1,2,18,2,1,830.88,nonwex4.png
1,2,19,2,1,791.62,nonwin2_4.png
1,2,20,2,1,648.4,nonwin2_7.png
1,2,21,2,1,681.09,nonwex2_8.png
1,2,22,2,1,641.86,nonwin2_11.png
1,2,23,2,1,546.55,nonwex2_7.png
1,2,24,2,1,579.34,nonwex2_11.png
1,3,1,2,1,780.88,nonwex3.png
1,3,2,2,1,541.64,nonwex2_7.png
1,3,3,2,1,566.35,nonwin2_7.png
1,3,4,2,1,527.1,nonwex2_6.png
1,3,5,1,1,559.84,nonwex2_9.png
1,3,6,1,1,808.6,nonwex2.png
1,3,7,1,1,643.97,nonwin2_1.png
1,3,8,2,1,628.72,nonwin2_11.png
1,3,9,2,1,541.43,nonwin8.png
1,3,10,1,1,630.2,nonwin2_2.png
1,3,11,1,1,814.89,nonwin1.png
1,3,12,2,1,839.69,nonwin7.png
1,3,13,2,1,712.38,nonwex2_11.png
1,3,14,2,1,689.13,nonwin12.png
1,3,15,1,1,561.89,nonwex2_5.png
1,3,16,2,1,690.63,nonwex6.png
1,3,17,2,1,795.36,nonwex11.png
1,3,18,1,1,876.1,nonwex4.png
1,3,19,1,1,924.83,nonwin2_4.png
1,3,20,2,1,829.55,nonwin6.png
1,3,21,2,1,798.28,nonwin2_8.png
1,3,22,2,1,711,nonwin2.png
1,3,23,1,1,687.72,nonwex2_8.png
1,3,24,2,1,696.5,nonwex8.png
1,4,1,1,1,551.43,nonwin2_1.png
1,4,2,1,1,624.13,nonwex11.png
1,4,3,1,1,672.87,nonwin1.png
1,4,4,2,1,665.61,nonwin2.png
1,4,5,1,1,514.37,nonwin12.png
1,4,6,2,1,515.08,nonwin2_11.png
1,4,7,1,1,627.82,nonwin6.png
1,4,8,1,1,820.53,nonwin2_8.png
1,4,9,2,1,733.29,nonwin2_4.png
1,4,10,1,1,501.99,nonwin2_2.png
1,4,11,2,1,542.78,nonwex4.png
1,4,12,1,1,559.51,nonwex2_5.png
1,4,13,2,1,520.25,nonwin8.png
1,4,14,2,1,616.94,nonwex3.png
1,4,15,2,1,697.73,nonwin2_7.png
1,4,16,2,1,698.46,nonwex8.png
1,4,17,1,1,530.95,nonwin7.png
1,4,18,2,1,555.93,nonwex2.png
1,4,19,2,1,868.67,nonwex2_6.png
