SID,Familiarity,Trial,Repetition,ImgCat,Loc,Resp,Corr,RT,ImgName
1,2,1,1,2,4,4,1,1127.69,unknown_female21.jpg
1,2,2,2,1,4,4,1,867.79,unknown_male18.jpg
1,2,3,1,1,1,1,1,879.91,unknown_male21.jpg
1,2,4,1,1,1,1,1,540,unknown_male20.jpg
1,2,5,2,1,4,4,1,840.05,unknown_male06.jpg
1,2,6,2,2,4,4,1,644.18,unknown_female24.jpg
1,2,7,1,2,2,2,1,752.27,unknown_female14.jpg
1,2,8,1,1,1,1,1,860.36,unknown_male17.jpg
1,2,9,1,1,4,4,1,1056.43,unknown_male14.jpg
1,2,10,2,2,1,1,1,900.49,unknown_female17.jpg
1,2,11,2,1,3,3,1,784.5,unknown_male23.jpg
1,2,12,1,2,2,2,1,628.69,unknown_female04.jpg
1,2,13,1,1,3,3,1,528.79,unknown_male16.jpg
1,2,14,1,1,2,2,1,628.87,unknown_male09.jpg
1,2,15,2,1,4,4,1,552.95,unknown_male05.jpg
1,2,16,2,2,4,4,1,452.98,unknown_female08.jpg
1,2,17,1,1,2,2,1,873.13,unknown_male01.jpg
1,2,18,2,1,1,1,1,1677.18,unknown_male24.jpg
1,2,19,2,2,2,2,1,857.3,unknown_female10.jpg
1,2,20,1,2,1,1,1,549.36,unknown_female23.jpg
1,2,21,1,2,4,4,1,673.49,unknown_female19.jpg
1,2,22,1,1,3,3,1,437.57,unknown_male13.jpg
1,2,23,1,2,2,2,1,521.65,unknown_female12.jpg
1,2,24,1,2,4,4,1,525.74,unknown_female18.jpg
1,2,25,2,2,3,3,1,809.79,unknown_female13.jpg
1,2,26,2,2,3,3,1,493.92,unknown_female15.jpg
1,2,27,2,1,2,2,1,834.01,unknown_male08.jpg
1,2,28,1,2,3,3,1,1086.1,unknown_female16.jpg
1,2,29,2,2,1,1,1,818.13,unknown_female20.jpg
1,2,30,2,1,2,2,1,918.25,unknown_male02.jpg
1,2,31,2,2,3,3,1,562.35,unknown_female09.jpg
1,2,32,2,2,4,4,1,686.38,unknown_female02.jpg
1,2,33,1,1,3,3,1,506.53,unknown_male04.jpg
1,2,34,1,1,4,4,1,630.62,unknown_male15.jpg
1,2,35,1,2,3,3,1,418.71,unknown_female22.jpg
1,2,36,1,1,2,2,1,534.78,unknown_male12.jpg
1,2,37,2,2,2,2,1,554.88,unknown_female03.jpg
1,2,38,1,2,1,1,1,702.97,unknown_female05.jpg
1,2,39,2,1,1,1,1,411.05,unknown_male03.jpg
1,2,40,2,1,3,3,1,599.11,unknown_male10.jpg
1,2,41,2,1,2,2,1,1683.24,unknown_male07.jpg
1,2,42,1,2,3,3,1,999.32,unknown_female06.jpg
1,2,43,2,1,3,3,1,507.41,unknown_male19.jpg
1,2,44,2,1,1,1,1,503.49,unknown_male11.jpg
1,2,45,1,2,1,1,1,363.57,unknown_female01.jpg
1,2,46,2,2,1,1,1,671.67,unknown_female11.jpg
1,2,47,1,1,4,4,1,891.75,unknown_male22.jpg
1,2,48,2,2,2,2,1,687.84,unknown_female07.jpg
2,1,1,2,1,1,1,1,1053.59,famous_male21.jpg
2,1,2,1,1,1,1,1,57.73,famous_male22.jpg
2,1,3,1,2,3,3,1,717.83,famous_female05.jpg
2,1,4,2,2,3,3,1,745.88,famous_female23.jpg
2,1,5,1,1,4,4,1,573.93,famous_male19.jpg
2,1,6,1,2,2,2,1,770.08,famous_female18.jpg
2,1,7,1,2,4,4,1,998.17,famous_female08.jpg
2,1,8,1,1,3,3,1,946.26,famous_male07.jpg
2,1,9,2,1,3,3,1,830.32,famous_male08.jpg
2,1,10,1,2,1,1,1,714.43,famous_female24.jpg
2,1,11,2,1,4,4,1,886.52,famous_male20.jpg
2,1,12,2,2,2,2,1,714.55,famous_female15.jpg
2,1,13,2,2,4,4,1,1022.69,famous_female12.jpg
2,1,14,2,2,4,4,1,1026.79,famous_female07.jpg
2,1,15,1,2,2,2,1,718.87,famous_female14.jpg
2,1,16,2,2,1,1,1,706.97,famous_female19.jpg
2,1,17,2,2,4,4,1,703.05,famous_female17.jpg
2,1,18,2,2,2,2,1,931.13,famous_female04.jpg
2,1,19,1,1,4,4,1,895.22,famous_male04.jpg
2,1,20,1,2,2,2,1,987.31,famous_female22.jpg
2,1,21,2,1,1,1,1,615.4,famous_male02.jpg
2,1,22,1,1,2,2,1,715.49,famous_male23.jpg
2,1,23,1,1,3,3,1,775.54,famous_male16.jpg
2,1,24,1,2,4,4,1,747.67,famous_female03.jpg
2,1,25,2,2,2,2,1,1231.77,famous_female01.jpg
2,1,26,1,2,1,1,1,707.86,famous_female13.jpg
2,1,27,1,1,2,2,1,703.91,famous_male05.jpg
2,1,28,2,1,2,2,1,932,famous_male01.jpg
2,1,29,2,1,2,2,1,880.08,famous_male17.jpg
