SID,Familiarity,RepTime,Trial,ImgCat,Resp,Corr,RT,ImgName
1,1,1,1,1,1,1,1623.66,famous_male06.jpg
1,1,1,2,2,2,1,519.65,famous_female10.jpg
1,2,1,3,2,2,1,519.63,unknown_female05.jpg
1,2,1,4,1,1,1,511.72,unknown_male18.jpg
1,2,1,5,1,1,1,543.61,unknown_male11.jpg
1,1,1,6,1,1,1,503.75,famous_male01.jpg
1,2,1,7,2,2,1,487.59,unknown_female14.jpg
1,1,1,8,2,2,1,487.63,famous_female13.jpg
1,2,1,9,1,1,1,535.62,unknown_male17.jpg
1,2,1,10,2,2,1,703.54,unknown_female19.jpg
1,1,1,11,1,1,1,639.53,famous_male20.jpg
1,1,1,12,1,1,1,583.54,famous_male13.jpg
1,2,1,13,1,1,1,727.5,unknown_male05.jpg
1,2,1,14,1,1,1,631.61,unknown_male19.jpg
1,1,1,15,1,1,1,871.5,famous_male03.jpg
1,2,1,16,2,2,1,543.06,unknown_female15.jpg
1,1,1,17,2,2,1,614.52,famous_female16.jpg
1,1,1,18,1,1,1,534.53,famous_male10.jpg
1,2,1,19,2,2,1,830.58,unknown_female06.jpg
1,1,1,20,2,2,1,839.4,famous_female03.jpg
1,1,1,21,2,2,1,830.51,famous_female05.jpg
1,1,1,22,2,2,1,911.38,famous_female09.jpg
1,2,1,23,2,2,1,1095.36,unknown_female09.jpg
1,2,1,24,1,1,1,431.35,unknown_male06.jpg
1,2,1,25,1,1,1,526.43,unknown_male08.jpg
1,1,1,26,2,2,1,471.32,famous_female20.jpg
1,2,1,27,2,2,1,502.91,unknown_female07.jpg
1,1,1,28,1,1,1,487.3,famous_male18.jpg
1,2,1,29,1,1,1,415.32,unknown_male14.jpg
1,1,1,30,2,2,1,455.27,famous_female12.jpg
1,1,1,31,1,1,1,407.27,famous_male12.jpg
1,1,1,32,2,2,1,501.93,famous_female04.jpg
1,2,1,33,1,1,1,390.36,unknown_male04.jpg
1,1,1,34,1,1,1,495.22,famous_male14.jpg
1,2,1,35,2,2,1,495.2,unknown_female20.jpg
1,2,1,36,1,1,1,471.19,unknown_male01.jpg
1,1,1,37,1,1,1,318.25,famous_male11.jpg
1,2,1,38,2,2,1,511.15,unknown_female04.jpg
1,1,1,39,2,2,1,687.15,famous_female01.jpg
1,2,1,40,2,2,1,631.13,unknown_female02.jpg
1,1,2,1,2,2,1,498.05,famous_female04.jpg
1,1,2,2,1,1,1,714.02,famous_male14.jpg
1,1,2,3,1,1,1,554.01,famous_male06.jpg
1,1,2,4,1,1,1,554,famous_male18.jpg
1,2,2,5,1,1,1,569.98,unknown_male18.jpg
1,2,2,6,2,2,1,609.97,unknown_female14.jpg
1,1,2,7,2,2,1,713.58,famous_female01.jpg
1,2,2,8,2,2,1,570.01,unknown_female06.jpg
1,2,2,9,2,2,1,593.93,unknown_female09.jpg
1,1,2,10,2,2,1,657.06,famous_female16.jpg
1,1,2,11,1,1,1,633.04,famous_male01.jpg
1,1,2,12,1,1,1,649.51,famous_male13.jpg
1,1,2,13,2,2,1,537.49,famous_female05.jpg
1,1,2,14,1,1,1,553.46,famous_male20.jpg
1,2,2,15,2,2,1,665.35,unknown_female02.jpg
1,2,2,16,1,1,1,625.46,unknown_male11.jpg
1,1,2,17,2,2,1,465.43,famous_female20.jpg
1,2,2,18,2,2,1,504.94,unknown_female19.jpg
1,2,2,19,1,1,1,513.4,unknown_male06.jpg
1,1,2,20,1,1,1,624.96,famous_male11.jpg
1,2,2,21,2,2,1,513.77,unknown_female07.jpg
1,1,2,22,1,1,1,433.35,famous_male12.jpg
1,2,2,23,1,1,1,577.72,unknown_male04.jpg
1,1,2,24,2,2,1,665.74,famous_female12.jpg
1,2,2,25,1,1,1,784.88,unknown_male05.jpg
1,1,2,26,2,2,1,673.7,famous_female13.jpg
1,2,2,27,2,2,1,473.7,unknown_female04.jpg
1,2,2,28,1,1,1,625.68,unknown_male19.jpg
1,2,2,29,2,2,1,521.68,unknown_female05.jpg
1,2,2,30,2,2,1,633.27,unknown_female20.jpg
1,2,2,31,1,1,1,521.23,unknown_male08.jpg
1,1,2,32,2,2,1,489.61,famous_female09.jpg
1,1,2,33,1,1,1,721.2,famous_male10.jpg
1,2,2,34,1,1,1,497.2,unknown_male14.jpg
1,2,2,35,2,2,1,473.21,unknown_female15.jpg
1,1,2,36,1,1,1,625.17,famous_male03.jpg
1,2,2,37,1,1,1,577.56,unknown_male01.jpg
1,1,2,38,2,2,1,721.17,famous_female10.jpg
1,1,2,39,2,2,1,576.67,famous_female03.jpg
1,2,2,40,1,1,1,536.65,unknown_male17.jpg
1,2,3,1,2,2,1,453.43,unknown_female19.jpg
1,2,3,2,2,2,1,477.04,unknown_female05.jpg
1,2,3,3,1,1,1,484.99,unknown_male14.jpg
1,2,3,4,1,1,1,485,unknown_male19.jpg
1,1,3,5,1,1,1,397,famous_male12.jpg
