SID,Familiarity,Trial,Repetition,Loc,Resp,Corr,RT,ImgName
1,2,1,2,3,3,1,1096.66,unknown_female08.jpg
1,2,2,2,1,1,1,646.24,unknown_male07.jpg
1,2,3,2,3,3,1,555.8,unknown_male03.jpg
1,1,4,1,4,4,1,609.39,famous_female13.jpg
1,2,5,1,3,3,1,374.93,unknown_female15.jpg
1,1,6,2,1,1,1,668.45,famous_female02.jpg
1,2,7,2,4,4,1,690.02,unknown_female01.jpg
1,1,8,2,4,4,1,1103.58,famous_female06.jpg
1,1,9,2,3,3,1,477.1,famous_female11.jpg
1,2,10,2,3,3,1,746.64,unknown_male13.jpg
1,1,11,2,2,2,1,928.26,famous_male08.jpg
1,1,12,2,4,4,1,709.74,famous_female15.jpg
1,1,13,1,3,3,1,1035.3,famous_female01.jpg
1,1,14,2,2,2,1,680.9,famous_female07.jpg
1,2,15,1,3,3,1,734.34,unknown_male08.jpg
1,1,16,1,3,3,1,1249.49,famous_female10.jpg
1,2,17,1,2,2,1,575.06,unknown_male05.jpg
1,1,18,2,1,1,1,1572.63,famous_female18.jpg
1,2,19,1,3,3,1,1066.17,unknown_male06.jpg
1,2,20,1,4,4,1,839.73,unknown_male17.jpg
1,1,21,1,4,4,1,957.26,famous_female05.jpg
1,2,22,2,4,4,1,954.84,unknown_male10.jpg
1,2,23,2,2,2,1,992.33,unknown_male15.jpg
1,2,24,2,4,4,1,1541.89,unknown_male20.jpg
1,2,25,1,3,3,1,1387.52,unknown_female05.jpg
1,2,26,2,2,2,1,1049.07,unknown_female12.jpg
1,2,27,1,4,4,1,1390.6,unknown_female14.jpg
1,2,28,1,2,2,1,996.21,unknown_female06.jpg
1,2,29,1,1,1,1,937.72,unknown_female20.jpg
1,1,30,2,2,2,1,415.26,famous_male04.jpg
1,2,31,1,1,1,1,1084.82,unknown_female04.jpg
1,1,32,1,1,1,1,546.37,famous_female16.jpg
1,1,33,2,3,3,1,807.99,famous_male19.jpg
1,2,34,1,3,3,1,1285.48,unknown_male14.jpg
1,1,35,2,3,3,1,467.03,famous_female19.jpg
1,1,36,2,2,2,1,400.6,famous_female14.jpg
1,1,37,1,2,2,1,1166.13,famous_female20.jpg
1,2,38,1,2,2,1,755.68,unknown_female19.jpg
1,1,39,1,1,1,1,1225.24,famous_female12.jpg
1,2,40,2,2,2,1,734.68,unknown_male12.jpg
1,2,41,1,4,4,1,876.28,unknown_female07.jpg
1,1,42,1,4,4,1,1361.93,famous_male14.jpg
1,1,43,1,1,1,1,1111.42,famous_male13.jpg
1,2,44,1,1,1,1,893.01,unknown_female02.jpg
1,1,45,1,2,2,1,522.56,famous_male18.jpg
1,2,46,2,3,3,1,624.11,unknown_female16.jpg
1,1,47,2,1,1,1,885.67,famous_male02.jpg
1,2,48,2,4,4,1,539.21,unknown_female18.jpg
1,2,49,2,3,3,1,832.77,unknown_male16.jpg
1,2,50,1,1,1,1,606.32,unknown_male11.jpg
1,1,51,1,4,4,1,1059.89,famous_female04.jpg
1,1,52,2,3,3,1,1145.4,famous_male07.jpg
1,2,53,1,1,1,1,1166.99,unknown_male04.jpg
1,1,54,1,2,2,1,1156.53,famous_male11.jpg
1,1,55,1,3,3,1,1098.03,famous_male12.jpg
1,1,56,1,2,2,1,1343.6,famous_female03.jpg
1,2,57,2,1,1,1,1421.19,unknown_male09.jpg
1,1,58,1,3,3,1,1266.64,famous_male10.jpg
1,2,59,2,2,2,1,1144.32,unknown_male02.jpg
1,2,60,2,1,1,1,605.83,unknown_female11.jpg
1,2,61,2,4,4,1,987.46,unknown_female13.jpg
1,1,62,1,4,4,1,576.93,famous_male01.jpg
1,2,63,2,1,1,1,910.51,unknown_female17.jpg
1,1,64,1,3,3,1,340.08,famous_male20.jpg
1,1,65,1,1,1,1,457.62,famous_male03.jpg
1,1,66,2,1,1,1,1575.17,famous_male17.jpg
1,1,67,2,1,1,1,1452.73,famous_female08.jpg
1,2,68,1,2,2,1,1586.25,unknown_male18.jpg
1,2,69,1,4,4,1,1319.77,unknown_female09.jpg
1,2,70,1,4,4,1,1317.37,unknown_male01.jpg
1,1,71,1,2,2,1,1018.95,famous_male06.jpg
1,1,72,2,2,2,1,1352.47,famous_male09.jpg
1,1,73,2,3,3,1,1205.93,famous_male05.jpg
1,2,74,2,2,2,1,1251.61,unknown_female10.jpg
1,1,75,2,4,4,1,1209.11,famous_female17.jpg
1,2,76,1,2,2,1,662.64,unknown_male19.jpg
1,1,77,1,1,1,1,1100.25,famous_female09.jpg
1,2,78,2,1,1,1,729.8,unknown_female03.jpg
1,1,79,2,4,4,1,1343.39,famous_male15.jpg
1,1,80,2,4,4,1,1804.85,famous_male16.jpg
2,1,1,2,1,1,1,826.78,famous_female04.jpg
2,1,2,1,1,1,1,624.34,famous_female17.jpg
2,1,3,1,2,2,1,781.89,famous_female16.jpg
2,1,4,1,1,1,1,659.45,famous_female12.jpg
2,2,5,2,4,4,1,760.99,unknown_female16.jpg
2,1,6,2,2,2,1,782.56,famous_female14.jpg
2,2,7,1,3,3,1,740.11,unknown_female06.jpg
2,1,8,1,2,2,1,889.66,famous_male12.jpg
2,1,9,2,3,3,1,927.27,famous_male01.jpg
2,2,10,2,4,4,1,764.76,unknown_female19.jpg
2,2,11,1,1,1,1,506.34,unknown_female02.jpg
2,2,12,1,2,2,1,559.87,unknown_female04.jpg
2,2,13,1,1,1,1,405.41,unknown_male07.jpg
2,1,14,2,4,4,1,522.96,famous_female18.jpg
2,2,15,1,4,4,1,688.55,unknown_male02.jpg
2,2,16,1,3,3,1,582.08,unknown_male08.jpg
2,1,17,1,3,3,1,515.63,famous_male14.jpg
2,2,18,2,1,1,1,577.22,unknown_female18.jpg
2,1,19,2,4,4,1,686.74,famous_female03.jpg
2,1,20,2,3,3,1,612.33,famous_male13.jpg
2,1,21,2,3,3,1,657.84,famous_female11.jpg
2,2,22,2,1,1,1,599.41,unknown_male05.jpg
2,1,23,2,1,1,1,420.93,famous_female20.jpg
2,2,24,1,4,4,1,586.51,unknown_male14.jpg
2,2,25,1,4,4,1,448.05,unknown_female03.jpg
2,2,26,2,3,3,1,485.6,unknown_female01.jpg
2,1,27,1,2,2,1,419.19,famous_male03.jpg
2,2,28,2,1,1,1,576.72,unknown_female08.jpg
2,2,29,2,1,1,1,550.26,unknown_male11.jpg
2,1,30,1,3,3,1,595.82,famous_male08.jpg
2,1,31,2,1,1,1,721.36,famous_female15.jpg
2,2,32,2,2,2,1,590.96,unknown_female10.jpg
2,1,33,1,1,1,1,644.46,famous_male10.jpg
2,1,34,2,4,4,1,658.03,famous_male05.jpg
2,2,35,1,1,1,1,647.58,unknown_male19.jpg
2,1,36,1,4,4,1,557.16,famous_male17.jpg
2,2,37,2,2,2,1,754.74,unknown_male15.jpg
2,1,38,1,3,3,1,528.24,famous_male04.jpg
2,2,39,1,3,3,1,533.82,unknown_male18.jpg
2,2,40,1,1,1,1,443.35,unknown_female11.jpg
2,2,41,2,2,2,1,496.82,unknown_male13.jpg
2,1,42,1,4,4,1,526.46,famous_female09.jpg
2,2,43,2,3,3,1,564.03,unknown_male10.jpg
2,2,44,2,4,4,1,497.57,unknown_female13.jpg
2,1,45,1,2,2,1,439.14,famous_male15.jpg
2,1,46,2,2,2,1,828.66,famous_female10.jpg
2,1,47,2,4,4,1,674.21,famous_female07.jpg
2,2,48,1,4,4,1,471.78,unknown_female12.jpg
2,1,49,1,3,3,1,685.35,famous_female08.jpg
2,1,50,1,4,4,1,514.87,famous_male16.jpg
