SID,Familiarity,RepTime,Trial,ImgCat,Resp,Corr,RT,ImgName
1,1,1,1,1,1,1,477.59,actor17.jpg
1,1,1,2,2,2,1,385.1,famfemale30.jpg
1,1,1,3,1,1,1,337.84,actor51.jpg
1,1,1,4,2,1,0,354.65,famfemale02.jpg
1,1,1,5,1,1,1,395.43,actorprac1.jpg
1,1,1,6,1,1,1,436.21,athlete1.jpg
1,1,1,7,1,1,1,573.02,actor49.jpg
1,1,1,8,2,2,1,405.75,famfemale22.jpg
1,1,1,9,2,2,1,350.56,famfemale36.jpg
1,1,1,10,2,2,1,359.29,famfemale39.jpg
1,1,1,11,1,1,1,504.08,capture008 copy.jpg
1,1,1,12,2,2,1,344.92,famfemale12.jpg
1,1,1,13,1,1,1,489.68,actor53.jpg
1,1,1,14,2,2,1,330.51,famfemale08.jpg
1,1,1,15,2,2,1,323.22,famfemale40.jpg
1,1,1,16,1,1,1,356.03,capture027 copy.jpg
1,1,1,17,2,2,1,436.79,famfemale38.jpg
1,1,1,18,2,2,1,469.62,famfemale34.jpg
1,1,1,19,1,1,1,534.38,capture025 copy.jpg
1,1,1,20,2,2,1,407.2,famfemale21.jpg
1,1,1,21,1,1,1,448.01,athlete28.jpg
1,1,1,22,2,2,1,320.8,famfemale01.jpg
1,1,1,23,1,1,1,409.57,actor14.jpg
1,1,1,24,1,2,0,306.33,athlete6.jpg
1,1,2,1,1,1,1,529.95,capture025 copy.jpg
1,1,2,2,1,1,1,418.72,capture008 copy.jpg
1,1,2,3,2,2,1,291.45,famfemale22.jpg
1,1,2,4,1,1,1,468.29,athlete6.jpg
1,1,2,5,1,1,1,389.02,capture027 copy.jpg
1,1,2,6,2,2,1,413.85,famfemale38.jpg
1,1,2,7,2,2,1,374.65,famfemale08.jpg
1,1,2,8,1,1,1,391.39,actor53.jpg
1,1,2,9,1,1,1,400.18,athlete1.jpg
1,1,2,10,1,1,1,448.96,actorprac1.jpg
1,1,2,11,2,2,1,345.74,famfemale40.jpg
1,1,2,12,2,2,1,394.6,famfemale01.jpg
1,1,2,13,2,2,1,371.3,famfemale39.jpg
1,1,2,14,1,1,1,436.11,actor14.jpg
1,1,2,15,1,1,1,516.93,actor17.jpg
1,1,2,16,2,2,1,389.71,famfemale36.jpg
1,1,2,17,1,1,1,502.47,athlete28.jpg
1,1,2,18,2,2,1,407.27,famfemale30.jpg
1,1,2,19,2,2,1,360.07,famfemale21.jpg
1,1,2,20,2,2,1,344.8,famfemale12.jpg
1,1,2,21,1,1,1,313.6,actor51.jpg
1,1,2,22,1,1,1,402.42,actor49.jpg
1,1,2,23,2,2,1,371.21,famfemale02.jpg
1,1,2,24,2,2,1,419.98,famfemale34.jpg
1,1,3,1,2,2,1,370.32,famfemale21.jpg
1,1,3,2,2,2,1,307.11,famfemale39.jpg
1,1,3,3,2,2,1,307.84,famfemale08.jpg
1,1,3,4,1,2,0,332.65,athlete6.jpg
1,1,3,5,2,2,1,461.46,famfemale02.jpg
1,1,3,6,2,2,1,414.25,famfemale36.jpg
1,1,3,7,2,2,1,383.03,famfemale34.jpg
1,1,3,8,1,1,1,391.76,athlete28.jpg
1,1,3,9,1,1,1,424.55,actor17.jpg
1,1,3,10,2,2,1,353.34,famfemale40.jpg
1,1,3,11,2,2,1,346.17,famfemale30.jpg
1,1,3,12,1,1,1,578.92,athlete1.jpg
1,1,3,13,2,2,1,347.72,famfemale12.jpg
1,1,3,14,2,2,1,356.5,famfemale38.jpg
1,1,3,15,2,2,1,333.31,famfemale22.jpg
1,1,3,16,1,1,1,398.09,actor14.jpg
1,1,3,17,1,2,0,358.86,capture025 copy.jpg
1,1,3,18,2,2,1,399.6,famfemale01.jpg
1,1,3,19,1,1,1,368.43,actor53.jpg
1,1,3,20,1,1,1,329.23,actor51.jpg
1,1,3,21,1,1,1,313.98,actor49.jpg
1,1,3,22,1,1,1,338.73,capture027 copy.jpg
1,1,3,23,1,1,1,331.58,capture008 copy.jpg
1,1,3,24,1,1,1,316.32,actorprac1.jpg
1,1,4,1,1,1,1,392.62,actor17.jpg
1,1,4,2,1,1,1,369.34,capture025 copy.jpg
1,1,4,3,1,1,1,314.14,capture008 copy.jpg
1,1,4,4,2,2,1,450.95,famfemale36.jpg
1,1,4,5,2,2,1,467.75,famfemale30.jpg
1,1,4,6,1,1,1,356.54,actor51.jpg
1,1,4,7,2,2,1,565.3,famfemale21.jpg
1,1,4,8,2,2,1,358.06,famfemale22.jpg
1,1,4,9,1,1,1,318.88,athlete1.jpg
1,1,4,10,1,2,0,359.64,athlete6.jpg
1,1,4,11,1,2,0,384.44,athlete28.jpg
1,1,4,12,2,2,1,425.24,famfemale39.jpg
1,1,4,13,1,1,1,361.96,actorprac1.jpg
1,1,4,14,2,2,1,362.78,famfemale08.jpg
1,1,4,15,2,2,1,323.59,famfemale02.jpg
1,1,4,16,2,2,1,332.38,famfemale38.jpg
1,1,4,17,1,1,1,445.17,actor53.jpg
1,1,4,18,2,2,1,493.92,famfemale40.jpg
1,1,4,19,2,2,1,358.72,famfemale01.jpg
1,1,4,20,1,1,1,447.48,actor14.jpg
1,1,4,21,1,1,1,456.3,actor49.jpg
1,1,4,22,2,2,1,457.09,famfemale12.jpg
1,1,4,23,1,1,1,417.87,capture027 copy.jpg
1,1,4,24,2,2,1,346.59,famfemale34.jpg
1,1,5,1,2,2,1,453.78,famfemale21.jpg
1,1,5,2,1,1,1,350.65,actorprac1.jpg
1,1,5,3,1,1,1,423.38,capture008 copy.jpg
1,1,5,4,2,2,1,424.16,famfemale08.jpg
1,1,5,5,2,2,1,432.92,famfemale22.jpg
1,1,5,6,1,1,1,497.77,actor51.jpg
1,1,5,7,1,1,1,402.52,capture025 copy.jpg
1,1,5,8,2,2,1,435.32,famfemale34.jpg
1,1,5,9,2,2,1,372.08,famfemale36.jpg
1,1,5,10,2,2,1,468.88,famfemale01.jpg
1,1,5,11,1,1,1,373.71,actor14.jpg
1,1,5,12,1,1,1,390.49,actor49.jpg
1,1,5,13,1,1,1,455.28,athlete1.jpg
1,1,5,14,2,2,1,463.92,famfemale30.jpg
1,1,5,15,1,1,1,352.82,actor17.jpg
1,1,5,16,2,2,1,377.59,famfemale12.jpg
1,1,5,17,2,2,1,338.35,famfemale39.jpg
1,1,5,18,1,1,1,571.2,athlete28.jpg
1,1,5,19,1,1,1,435.96,capture027 copy.jpg
1,1,5,20,2,2,1,444.7,famfemale40.jpg
1,1,5,21,1,1,1,373.54,actor53.jpg
1,1,5,22,2,2,1,398.34,famfemale02.jpg
1,1,5,23,1,1,1,431.12,athlete6.jpg
1,1,5,24,2,2,1,399.89,famfemale38.jpg
1,1,6,1,1,1,1,456.43,actor49.jpg
1,1,6,2,1,1,1,385.19,capture025 copy.jpg
1,1,6,3,2,1,0,329.96,famfemale12.jpg
1,1,6,4,2,2,1,410.79,famfemale01.jpg
1,1,6,5,2,2,1,379.58,famfemale02.jpg
1,1,6,6,2,2,1,332.3,famfemale30.jpg
1,1,6,7,2,2,1,357.12,famfemale36.jpg
1,1,6,8,1,1,1,445.87,actor14.jpg
1,1,6,9,1,1,1,382.69,athlete1.jpg
1,1,6,10,1,1,1,367.5,athlete6.jpg
1,1,6,11,1,1,1,400.27,athlete28.jpg
1,1,6,12,2,2,1,377.02,famfemale39.jpg
1,1,6,13,2,2,1,377.85,famfemale40.jpg
1,1,6,14,1,1,1,450.64,capture027 copy.jpg
1,1,6,15,1,2,0,299.42,capture008 copy.jpg
1,1,6,16,2,2,1,348.2,famfemale38.jpg
1,1,6,17,2,2,1,388.98,famfemale22.jpg
1,1,6,18,1,1,1,389.76,actorprac1.jpg
1,1,6,19,2,2,1,502.56,famfemale34.jpg
1,1,6,20,2,2,1,383.3,famfemale08.jpg
1,1,6,21,1,1,1,416.11,actor53.jpg
1,1,6,22,2,2,1,360.87,famfemale21.jpg
1,1,6,23,1,1,1,409.63,actor51.jpg
1,1,6,24,1,1,1,434.43,actor17.jpg
1,1,7,1,2,2,1,476.65,famfemale38.jpg
1,1,7,2,1,1,1,453.37,capture025 copy.jpg
1,1,7,3,1,1,1,486.16,capture008 copy.jpg
1,1,7,4,2,2,1,382.99,famfemale08.jpg
1,1,7,5,1,1,1,423.71,athlete28.jpg
1,1,7,6,1,1,1,432.55,actorprac1.jpg
1,1,7,7,1,1,1,409.28,capture027 copy.jpg
1,1,7,8,2,2,1,394.06,famfemale12.jpg
1,1,7,9,2,2,1,442.91,famfemale21.jpg
1,1,7,10,1,1,1,435.69,actor14.jpg
1,1,7,11,1,1,1,412.41,athlete1.jpg
1,1,7,12,1,1,1,421.26,actor17.jpg
1,1,7,13,2,2,1,390.04,famfemale02.jpg
1,1,7,14,1,1,1,414.83,actor53.jpg
1,1,7,15,2,2,1,351.62,famfemale34.jpg
1,1,7,16,2,2,1,344.38,famfemale30.jpg
1,1,7,17,2,2,1,441.12,famfemale36.jpg
1,1,7,18,2,2,1,441.96,famfemale40.jpg
1,1,7,19,1,1,1,466.7,athlete6.jpg
1,1,7,20,2,2,1,347.49,famfemale22.jpg
1,1,7,21,1,1,1,452.32,actor51.jpg
1,1,7,22,1,1,1,477.1,actor49.jpg
1,1,7,23,2,2,1,341.84,famfemale39.jpg
1,1,7,24,2,2,1,430.67,famfemale01.jpg
1,1,8,1,2,2,1,359.7,famfemale30.jpg
1,1,8,2,2,2,1,360.53,famfemale40.jpg
1,1,8,3,1,1,1,441.28,capture027 copy.jpg
1,1,8,4,2,2,1,442.1,famfemale34.jpg
1,1,8,5,1,1,1,442.92,actor51.jpg
1,1,8,6,1,1,1,379.66,actorprac1.jpg
1,1,8,7,1,1,1,372.49,actor17.jpg
1,1,8,8,1,1,1,341.25,actor53.jpg
1,1,8,9,1,1,1,342.06,athlete1.jpg
1,1,8,10,2,2,1,358.82,famfemale21.jpg
1,1,8,11,1,1,1,375.62,capture025 copy.jpg
1,1,8,12,1,1,1,352.41,actor49.jpg
1,1,8,13,2,2,1,377.2,famfemale01.jpg
1,1,8,14,2,2,1,345.97,famfemale12.jpg
1,1,8,15,2,2,1,434.77,famfemale39.jpg
1,1,8,16,2,2,1,531.49,famfemale36.jpg
1,1,8,17,1,1,1,524.31,capture008 copy.jpg
1,1,8,18,2,2,1,341.12,famfemale08.jpg
1,1,8,19,1,1,1,493.87,athlete6.jpg
1,1,8,20,2,2,1,406.66,famfemale02.jpg
1,1,8,21,2,2,1,455.47,famfemale38.jpg
1,1,8,22,2,2,1,408.25,famfemale22.jpg
1,1,8,23,1,1,1,544.97,athlete28.jpg
1,1,8,24,1,1,1,441.82,actor14.jpg
2,1,1,1,1,1,1,359.52,actor35.jpg
2,1,1,2,1,1,1,378.97,capture026 copy.jpg
2,1,1,3,1,1,1,435.77,athlete7.jpg
2,1,1,4,1,1,1,340.51,actor41.jpg
2,1,1,5,2,2,1,333.36,famfemale22.jpg
2,1,1,6,1,1,1,334.09,actor9.jpg
2,1,1,7,2,2,1,318.89,famfemale01.jpg
2,1,1,8,2,2,1,455.68,famfemale34.jpg
2,1,1,9,2,2,1,440.48,famfemale30.jpg
2,1,1,10,2,2,1,441.23,famfemale40.jpg
2,1,1,11,1,1,1,386.07,athlete13.jpg
2,1,1,12,1,1,1,370.8,actor19.jpg
2,1,1,13,2,2,1,371.64,famfemale36.jpg
2,1,1,14,1,1,1,604.41,actor54.jpg
2,1,1,15,1,1,1,373.19,capture003 copy.jpg
2,1,1,16,1,1,1,309.99,actor12.jpg
2,1,1,17,2,2,1,326.71,famfemale08.jpg
2,1,1,18,2,2,1,495.51,famfemale12.jpg
2,1,1,19,1,1,1,376.34,actor7.jpg
2,1,1,20,2,2,1,345.13,famfemale02.jpg
2,1,1,21,2,2,1,369.86,famfemale21.jpg
2,1,1,22,2,2,1,402.64,famfemale38.jpg
2,1,1,23,2,2,1,387.48,famfemale39.jpg
2,1,1,24,1,1,1,364.26,actor44.jpg
2,1,2,1,1,1,1,396.28,actor9.jpg
2,1,2,2,2,2,1,381.11,famfemale22.jpg
2,1,2,3,2,2,1,397.87,famfemale30.jpg
2,1,2,4,2,2,1,374.68,famfemale40.jpg
2,1,2,5,1,1,1,383.4,actor54.jpg
2,1,2,6,2,2,1,480.19,famfemale36.jpg
2,1,2,7,1,1,1,496.98,actor19.jpg
2,1,2,8,2,2,1,409.81,famfemale12.jpg
2,1,2,9,1,1,1,362.58,actor35.jpg
