SID,Familiarity,RepTime,Trial,Resp,Corr,RT,ImgName
1,1,1,1,2,1,880.96,wordin2_11.png
1,1,1,2,1,1,868.35,wordex2_9.png
1,1,1,3,1,1,620.83,wordex2_1.png
1,1,1,4,2,1,669.82,wordin2_1.png
1,1,1,5,2,1,1006.57,wordex10.png
1,1,1,6,1,1,551.29,wordex6.png
1,1,1,7,1,1,872.02,wordin2_5.png
1,1,1,8,1,1,896.77,wordin7.png
1,1,1,9,1,1,801.46,wordin2_8.png
1,1,1,10,2,1,706.22,wordin9.png
1,1,1,11,2,1,858.91,wordin11.png
1,1,1,12,1,1,723.69,wordin2.png
1,1,1,13,1,1,732.41,wordex2_8.png
1,1,1,14,1,1,773.16,wordex3.png
1,1,1,15,1,1,605.84,wordex2_4.png
1,1,1,16,2,1,798.63,wordex2_5.png
1,1,1,17,2,1,1007.37,wordin2_12.png
1,1,1,18,1,1,760.03,wordex2_3.png
1,1,1,19,1,1,688.82,wordin2_10.png
1,1,1,20,1,1,505.51,wordex5.png
1,1,1,21,1,1,578.28,wordin2_9.png
1,1,1,22,1,1,691.02,wordin2_4.png
1,1,1,23,2,1,787.68,wordex8.png
1,1,1,24,1,1,788.46,wordin10.png
1,1,2,1,2,1,731.88,wordin2_12.png
1,1,2,2,1,1,716.63,wordin2.png
1,1,2,3,2,1,877.38,wordin2_5.png
1,1,2,4,1,1,614.08,wordin2_9.png
1,1,2,5,1,1,622.82,wordex6.png
1,1,2,6,1,1,583.58,wordex2_8.png
1,1,2,7,1,1,728.31,wordex3.png
1,1,2,8,1,1,585,wordin7.png
1,1,2,9,2,1,713.74,wordex2_5.png
1,1,2,10,1,1,538.48,wordex5.png
1,1,2,11,2,1,683.24,wordin2_1.png
1,1,2,12,1,1,643.91,wordin2_10.png
1,1,2,13,1,1,692.64,wordex2_3.png
1,1,2,14,2,1,669.43,wordex8.png
1,1,2,15,2,1,870.12,wordin9.png
1,1,2,16,2,1,1118.92,wordin2_11.png
1,1,2,17,1,1,551.62,wordin10.png
1,1,2,18,1,1,576.35,wordex2_9.png
1,1,2,19,1,1,841.07,wordex10.png
1,1,2,20,2,1,657.81,wordin11.png
1,1,2,21,1,1,546.48,wordex2_1.png
1,1,2,22,1,1,523.27,wordex2_4.png
1,1,2,23,1,1,484,wordin2_8.png
1,1,2,24,1,1,564.74,wordin2_4.png
1,1,3,1,2,1,588.12,wordin2_1.png
1,1,3,2,1,1,484.86,wordex2_8.png
1,1,3,3,1,1,477.65,wordex3.png
1,1,3,4,1,1,422.35,wordex10.png
1,1,3,5,1,1,471.05,wordin2.png
1,1,3,6,1,1,447.84,wordex5.png
1,1,3,7,1,1,368.56,wordex2_4.png
1,1,3,8,1,1,481.29,wordin2_9.png
1,1,3,9,2,1,633.95,wordin9.png
1,1,3,10,1,1,514.76,wordex2_3.png
1,1,3,11,1,1,315.48,wordex2_9.png
1,1,3,12,1,1,428.18,wordin2_4.png
1,1,3,13,2,1,580.95,wordex2_5.png
1,1,3,14,2,1,525.68,wordin2_5.png
1,1,3,15,2,1,574.41,wordex8.png
1,1,3,16,1,1,519.12,wordex2_1.png
1,1,3,17,1,1,383.84,wordin11.png
1,1,3,18,1,1,552.6,wordin7.png
1,1,3,19,2,1,609.31,wordin2_12.png
1,1,3,20,1,1,594.02,wordin2_10.png
1,1,3,21,1,1,530.77,wordex6.png
1,1,3,22,2,1,763.48,wordin2_11.png
1,1,3,23,1,1,572.22,wordin10.png
1,1,3,24,1,1,540.98,wordin2_8.png
1,1,4,1,1,1,764.35,wordex2_9.png
1,1,4,2,1,1,533.02,wordin10.png
1,1,4,3,2,1,669.79,wordin2_5.png
1,1,4,4,1,1,470.52,wordex2_4.png
1,1,4,5,1,1,503.27,wordex2_1.png
1,1,4,6,1,1,503.91,wordex6.png
1,1,4,7,1,1,336.68,wordex10.png
1,1,4,8,1,1,489.43,wordin2.png
1,1,4,9,1,1,618.12,wordin2_9.png
1,1,4,10,1,1,562.92,wordin2_10.png
1,1,4,11,1,1,547.59,wordex2_8.png
1,1,4,12,2,1,532.38,wordin2_12.png
1,1,4,13,1,1,525.11,wordin2_4.png
1,1,4,14,2,1,661.78,wordin11.png
1,1,4,15,1,1,494.57,wordex5.png
1,1,4,16,2,1,711.26,wordin2_11.png
1,1,4,17,1,1,488.03,wordin2_8.png
1,1,4,18,2,1,584.76,wordex8.png
1,1,4,19,2,1,593.48,wordin2_1.png
1,1,4,20,2,1,578.22,wordex2_5.png
1,1,4,21,1,1,594.95,wordex2_3.png
1,1,4,22,1,1,595.63,wordex3.png
1,1,4,23,2,1,572.36,wordin9.png
1,1,4,24,1,1,557.13,wordin7.png
1,1,5,1,1,1,773.13,wordin2_8.png
1,1,5,2,2,1,565.83,wordin11.png
1,1,5,3,1,1,550.51,wordex10.png
1,1,5,4,2,1,551.3,wordex2_5.png
1,1,5,5,2,1,583.98,wordex8.png
1,1,5,6,1,1,488.71,wordin2_10.png
1,1,5,7,1,1,433.47,wordex2_4.png
1,1,5,8,1,1,474.22,wordin2_9.png
1,1,5,9,1,1,554.94,wordex2_8.png
1,1,5,10,1,1,467.65,wordin10.png
1,1,5,11,1,1,420.41,wordex5.png
1,1,5,12,2,1,517.1,wordin9.png
1,1,5,13,1,1,517.87,wordin2.png
1,1,5,14,2,1,614.6,wordin2_11.png
1,1,5,15,1,1,527.33,wordin2_4.png
1,1,5,16,1,1,439.94,wordex3.png
1,1,5,17,1,1,736.8,wordex2_1.png
1,1,5,18,1,1,481.51,wordin7.png
1,1,5,19,2,1,498.2,wordin2_12.png
1,1,5,20,2,1,538.97,wordin2_1.png
1,1,5,21,1,1,515.69,wordex6.png
1,1,5,22,1,1,500.44,wordex2_9.png
1,1,5,23,1,1,509.13,wordex2_3.png
1,1,5,24,2,1,541.89,wordin2_5.png
1,1,6,1,1,1,477.14,wordin10.png
1,1,6,2,1,1,421.88,wordex2_1.png
1,1,6,3,1,1,502.59,wordex2_8.png
1,1,6,4,1,1,519.38,wordin2_10.png
1,1,6,5,1,1,536.12,wordin2_8.png
1,1,6,6,1,1,544.85,wordex6.png
1,1,6,7,2,1,537.53,wordin9.png
1,1,6,8,2,1,514.3,wordin2_1.png
1,1,6,9,1,1,491.02,wordex3.png
1,1,6,10,1,1,475.71,wordex2_9.png
1,1,6,11,1,1,460.45,wordex2_4.png
1,1,6,12,1,1,533.21,wordin7.png
1,1,6,13,2,1,549.96,wordin2_11.png
1,1,6,14,1,1,774.67,wordex8.png
1,1,6,15,1,1,455.36,wordin11.png
1,1,6,16,0,0,0,wordin2_9.png
1,1,6,17,2,1,528.85,wordin2_5.png
1,1,6,18,1,1,465.55,wordin2.png
1,1,6,19,1,1,434.34,wordin2_4.png
1,1,6,20,1,1,515.07,wordex5.png
1,1,6,21,1,1,443.79,wordex10.png
1,1,6,22,1,1,500.53,wordex2_3.png
1,1,6,23,2,1,637.24,wordex2_5.png
1,1,6,24,2,1,613.99,wordin2_12.png
1,1,7,1,1,1,394.22,wordex5.png
1,1,7,2,1,1,403.03,wordin7.png
1,1,7,3,1,1,483.73,wordin2_4.png
1,1,7,4,2,1,532.47,wordin2_1.png
1,1,7,5,1,1,525.21,wordex3.png
1,1,7,6,1,1,485.95,wordin2_8.png
1,1,7,7,2,1,542.64,wordex8.png
1,1,7,8,2,1,455.4,wordin2_5.png
1,1,7,9,1,1,624.11,wordex10.png
1,1,7,10,2,1,576.85,wordin2_11.png
1,1,7,11,1,1,521.59,wordin2_10.png
1,1,7,12,2,1,538.34,wordin9.png
1,1,7,13,1,1,795.02,wordin2_9.png
1,1,7,14,1,1,467.76,wordin10.png
1,1,7,15,1,1,548.5,wordex2_9.png
1,1,7,16,2,1,629.26,wordin2_12.png
1,1,7,17,1,1,621.99,wordin2.png
1,1,7,18,1,1,814.72,wordin11.png
1,1,7,19,1,1,527.43,wordex2_1.png
1,1,7,20,1,1,456.17,wordex2_3.png
1,1,7,21,1,1,520.9,wordex2_8.png
1,1,7,22,2,1,529.64,wordex2_5.png
1,1,7,23,1,1,826.38,wordex6.png
1,1,7,24,1,1,891.09,wordex2_4.png
1,1,8,1,1,1,748.86,wordin2_10.png
1,1,8,2,0,0,0,wordin2_4.png
1,1,8,3,1,1,510.35,wordex6.png
1,1,8,4,1,1,527.03,wordex2_9.png
1,1,8,5,1,1,455.82,wordex2_1.png
1,1,8,6,1,1,520.54,wordex2_8.png
1,1,8,7,1,1,513.25,wordex2_4.png
1,1,8,8,2,1,490,wordin2_12.png
1,1,8,9,1,1,538.74,wordin10.png
1,1,8,10,1,1,515.46,wordin7.png
1,1,8,11,1,1,644.17,wordin11.png
1,1,8,12,2,1,540.92,wordin9.png
1,1,8,13,2,1,373.65,wordex2_3.png
1,1,8,14,2,1,542.39,wordin2_11.png
1,1,8,15,1,1,527.12,wordex10.png
1,1,8,16,2,1,543.85,wordin2_5.png
