SID,Familiarity,Trial,Repetition,AscLoc,ScrResp,Corr,RT,Confident,ImgName
1,1,1,1,3,3,1,2463.98,4,wordin2_8.png
1,1,2,2,4,2,0,2449.93,4,wordex7.png
1,1,3,1,3,2,0,2174.49,4,wordex8.png
1,1,4,2,1,1,1,1781.44,4,wordin2_2.png
1,1,5,1,1,1,1,1815.03,4,wordin10.png
1,1,6,2,2,2,1,1248.06,4,wordex2_10.png
1,1,7,1,4,4,1,2217.42,4,wordex2_1.png
1,1,8,2,1,1,1,1472.29,4,wordex11.png
1,1,9,2,1,1,1,1412.26,4,wordin2_7.png
1,1,10,1,2,2,1,1581.37,1,wordin2_12.png
1,1,11,2,2,2,1,1142.93,4,wordex2.png
1,1,12,1,2,1,0,1888.08,2,wordin11.png
1,1,13,1,1,1,1,1278.97,2,wordex2_9.png
1,1,14,1,2,2,1,2037.44,3,wordex2_3.png
1,1,15,2,2,2,1,1142.58,4,wordin4.png
1,1,16,1,3,3,1,2839.86,2,wordin2_1.png
1,1,17,2,1,1,1,1686.85,4,wordex2_6.png
1,1,18,2,3,2,0,1331,2,wordex1.png
1,1,19,2,4,4,1,1798.92,4,wordex2_12.png
1,1,20,2,3,3,1,1176.51,4,wordin2_6.png
1,1,21,2,3,3,1,1161.66,4,wordin5.png
1,1,22,2,2,2,1,805.23,4,wordex2_2.png
1,1,23,1,1,3,0,1240.83,2,wordex10.png
1,1,24,2,4,4,1,1209.81,3,wordex4.png
1,1,25,1,4,2,0,1885.7,4,wordin7.png
1,1,26,2,3,2,0,2596.41,1,wordin8.png
1,1,27,2,3,3,1,1153.4,2,wordin6.png
1,1,28,1,3,3,1,1079.83,2,wordin2.png
1,1,29,1,3,2,0,1384.87,2,wordin2_4.png
1,1,30,1,4,2,0,1196.68,1,wordex6.png
1,1,31,2,3,3,1,976.44,4,wordin2_3.png
1,1,32,1,4,3,0,1028.09,3,wordin2_9.png
1,1,33,1,1,4,0,2135.76,1,wordex3.png
1,1,34,1,3,2,0,873.16,2,wordin2_10.png
1,1,35,1,4,2,0,988.74,2,wordex5.png
1,1,36,2,1,3,0,1757.71,1,wordex9.png
1,1,37,2,4,4,1,977.47,2,wordex12.png
1,1,38,1,1,2,0,1333.25,3,wordex2_5.png
1,1,39,2,2,2,1,921.11,4,wordex2_11.png
1,1,40,1,2,2,1,1633.9,2,wordin2_11.png
1,1,41,1,4,2,0,1275.29,2,wordin2_5.png
1,1,42,2,2,2,1,1185.79,2,wordex2_7.png
1,1,43,2,4,2,0,1101.8,1,wordin3.png
1,1,44,2,1,3,0,1246.88,1,wordin12.png
1,1,45,1,2,2,1,2095.82,3,wordex2_8.png
1,1,46,1,2,2,1,673.44,3,wordin9.png
1,1,47,2,4,4,1,879.62,4,wordin1.png
1,1,48,1,1,3,0,2074.98,2,wordex2_4.png
2,1,1,1,3,2,0,7463.57,1,wordin2_2.png
2,1,2,2,3,3,1,1958.62,4,wordex3.png
2,1,3,1,2,3,0,2432.2,3,wordex2_11.png
2,1,4,1,4,3,0,3196.5,4,wordex2_7.png
2,1,5,1,4,4,1,1390.31,4,wordex9.png
2,1,6,2,4,3,0,1271.43,1,wordin2_4.png
2,1,7,1,4,2,0,1569.95,1,wordex2_6.png
2,1,8,1,1,1,1,1637.97,4,wordex2_2.png
2,1,9,1,4,4,1,1425.71,3,wordex4.png
2,1,10,2,3,3,1,2542.13,3,wordex2_5.png
2,1,11,1,1,4,0,1986.59,3,wordex2_12.png
2,1,12,1,2,4,0,3076.06,2,wordin5.png
2,1,13,1,1,2,0,1531.14,3,wordin2_6.png
2,1,14,2,3,3,1,2673.91,4,wordex8.png
2,1,15,1,3,3,1,1640.78,2,wordex11.png
2,1,16,2,2,2,1,2378.09,2,wordex2_3.png
2,1,17,1,1,1,1,1886.25,3,wordex7.png
2,1,18,2,3,3,1,1660.93,4,wordex2_4.png
2,1,19,1,4,4,1,5120.92,3,wordin6.png
2,1,20,2,1,1,1,1734.23,1,wordin2_10.png
2,1,21,2,2,3,0,1900.77,1,wordin2_8.png
2,1,22,2,1,1,1,4672.76,3,wordin2_9.png
2,1,23,1,2,1,0,1232.57,3,wordin1.png
2,1,24,1,3,3,1,1252.3,2,wordex2.png
