SID,Trial,Repetition,ImgCat,Loc,Resp,Corr,RT,ImgName
1,1,1,1,1,1,1,746.56,unfammale05.jpg
1,2,1,2,2,2,1,726.74,capture015 copy.jpg
1,3,1,2,1,1,0,875.32,unfamfemale32.jpg
1,4,2,1,3,1,1,831.62,unfammale16.jpg
1,5,2,1,4,1,1,740.08,unfammale33.jpg
1,6,2,1,1,1,1,752.38,capture003 copy.jpg
1,7,2,1,2,1,1,644.78,capture012 copy.jpg
1,8,1,2,4,2,1,873.16,unfamfemale08.jpg
1,9,1,2,1,2,1,957.51,unfamfemale40.jpg
1,10,2,1,4,1,1,801.88,unfammale12.jpg
1,11,1,2,2,2,1,982.32,unfamfemale01.jpg
1,12,2,2,3,2,1,1066.62,unfamfemale26.jpg
1,13,1,2,3,2,1,1407.05,unfamfemale10.jpg
1,14,2,2,2,2,1,1035.39,capture017 copy.jpg
1,15,2,1,3,1,1,1047.75,unfammale35.jpg
1,16,1,2,3,2,1,772.12,capture005 copy.jpg
1,17,1,1,2,1,1,1032.28,unfammale18.jpg
1,18,2,1,2,1,1,860.87,unfammale09.jpg
1,19,2,1,1,1,1,1097.27,capture020 copy.jpg
1,20,1,2,4,2,1,1101.61,unfamfemale04.jpg
1,21,2,2,1,2,1,961.98,unfamfemale24.jpg
1,22,2,2,1,2,1,750.3,capture002 copy.jpg
1,23,2,2,2,2,1,794.7,unfamfemale05.jpg
1,24,1,2,1,2,1,887.08,unfamfemale17.jpg
1,25,1,1,2,1,1,875.46,unfammale19.jpg
1,26,1,1,4,1,1,1087.84,unfammale08.jpg
1,27,2,2,3,2,1,916.23,unfamfemale06.jpg
1,28,2,2,4,2,1,864.6,unfamfemale15.jpg
1,29,1,1,4,1,1,732.99,unfammale25.jpg
1,30,2,1,4,1,1,809.34,unfammale28.jpg
1,31,1,1,3,1,1,845.69,unfammale21.jpg
1,32,1,1,2,1,1,865.88,unfammale39.jpg
1,33,1,1,1,1,1,798.42,unfammale02.jpg
1,34,1,1,3,1,1,810.82,unfammale23.jpg
1,35,1,1,1,1,1,663.17,unfammale14.jpg
1,36,2,2,3,2,1,859.56,unfamfemale03.jpg
1,37,2,2,2,2,1,919.94,capture001 copy.jpg
1,38,2,2,1,2,1,812.32,unfamfemale20.jpg
1,39,2,1,3,1,1,976.69,capture013 copy.jpg
1,40,1,2,3,2,1,1029.08,unfamfemale37.jpg
1,41,1,1,4,1,1,1305.45,capture010 copy.jpg
1,42,1,1,3,1,1,773.76,unfammale38.jpg
1,43,2,1,1,1,1,834.15,capture016 copy.jpg
1,44,1,2,2,2,1,830.57,unfamfemale21.jpg
1,45,2,2,4,2,1,714.91,unfamfemale38.jpg
1,46,2,1,2,1,1,1287.26,capture011 copy.jpg
1,47,2,2,4,2,1,1011.4,unfamfemale39.jpg
1,48,1,2,4,2,1,776.05,capture021 copy.jpg
