SID,Trial,Repetition,AscLoc,ScrResp,Corr,RT,Confident,ImgName
1,1,2,2,2,1,6550.5,1,unfammale09.jpg
1,2,2,3,3,1,1672.18,4,unfamfemale06.jpg
1,3,2,2,3,0,6290.12,2,capture011 copy.jpg
1,4,1,4,4,1,2153.03,4,capture021 copy.jpg
1,5,1,2,2,1,5672.27,1,unfammale18.jpg
1,6,2,4,4,1,1667.75,2,unfammale33.jpg
1,7,2,4,4,1,3018.9,4,unfamfemale15.jpg
1,8,1,4,4,1,1554.28,4,unfamfemale04.jpg
1,9,2,4,4,1,1184.72,4,unfamfemale39.jpg
1,10,1,4,4,1,1242.03,4,unfamfemale08.jpg
1,11,2,1,1,1,1253.84,4,capture020 copy.jpg
1,12,1,1,1,1,2273.92,4,unfammale14.jpg
1,13,2,3,3,1,3814.83,3,unfamfemale03.jpg
1,14,1,3,3,1,1598.79,4,capture005 copy.jpg
1,15,2,3,2,0,2879.99,2,unfammale16.jpg
1,16,2,2,2,1,1743.67,4,unfamfemale05.jpg
1,17,2,1,1,1,2638.39,3,capture016 copy.jpg
1,18,1,2,1,0,5322.9,3,unfamfemale01.jpg
1,19,1,3,2,0,4893.91,2,unfammale38.jpg
1,20,1,3,4,0,5750.37,2,unfamfemale10.jpg
1,21,2,1,2,0,4380.6,2,unfamfemale20.jpg
1,22,1,2,2,1,1847.19,4,unfammale39.jpg
1,23,1,1,1,1,1352.34,4,unfamfemale32.jpg
1,24,2,2,2,1,1351.03,4,capture001 copy.jpg
1,25,2,3,2,0,3544.21,2,capture013 copy.jpg
1,26,1,2,2,1,2058.48,2,unfamfemale21.jpg
1,27,1,1,1,1,1398.65,3,unfammale05.jpg
1,28,2,4,4,1,1152,4,unfamfemale38.jpg
1,29,2,2,2,1,1233.03,4,capture017 copy.jpg
1,30,2,1,1,1,1028.58,4,unfamfemale24.jpg
1,31,2,3,3,1,2755.13,4,unfammale35.jpg
1,32,2,4,4,1,3205.19,2,unfammale12.jpg
1,33,1,3,3,1,1900.73,4,unfammale21.jpg
1,34,1,3,3,1,1278.08,4,unfammale23.jpg
1,35,1,1,1,1,1431.28,3,unfamfemale40.jpg
1,36,2,1,1,1,1008.49,4,capture003 copy.jpg
1,37,1,3,3,1,1934.88,4,unfamfemale37.jpg
1,38,1,2,2,1,1605.62,4,capture015 copy.jpg
