SID,Block,Trial,RepTime,Resp,Corr,RT,ImgName
1,1,1,1,1,1,1119.89,nonwex6.png
1,1,2,1,0,0,0,nonwin2_11.png
1,1,3,1,1,1,56.97,nonwex12.png
1,1,4,1,1,1,742.86,nonwin2_12.png
1,1,5,1,1,1,580.71,nonwex11.png
1,1,6,1,1,1,498.61,nonwex2_5.png
1,1,7,1,1,1,424.43,nonwin7.png
1,1,8,1,1,1,526.38,nonwin4.png
1,1,9,1,1,1,484.25,nonwin2_5.png
1,1,10,1,1,1,500.75,nonwex2_12.png
1,1,11,1,1,1,557.35,nonwex2_4.png
1,1,12,1,1,1,421.88,nonwex9.png
1,1,13,2,2,1,795.76,nonwex2_5.png
1,1,14,1,2,0,636.24,nonwex4.png
1,1,15,1,1,1,572.82,nonwex2_8.png
1,1,16,2,2,1,757.36,nonwin2_12.png
1,1,17,1,1,1,645.91,nonwex2_10.png
1,1,18,1,1,1,590.47,nonwin9.png
1,1,19,1,1,1,663.03,nonwin8.png
1,1,20,2,2,1,796.93,nonwex2_8.png
1,1,21,2,2,1,845.48,nonwin8.png
1,1,22,1,1,1,725.96,nonwin3.png
1,1,23,1,1,1,638.56,nonwex2.png
1,1,24,1,1,1,623.04,nonwin10.png
1,1,25,1,1,1,511.64,nonwex2_7.png
1,1,26,1,1,1,680.12,nonwin5.png
1,1,27,1,1,1,645.81,nonwex8.png
1,1,28,1,1,1,510.62,nonwex2_9.png
1,1,29,1,1,1,567.14,nonwex5.png
1,1,30,2,2,1,645.04,nonwin5.png
1,1,31,1,2,0,810.92,nonwin2_6.png
1,1,32,1,1,1,648.71,nonwin2_7.png
1,1,33,2,2,1,702.59,nonwin10.png
1,1,34,1,1,1,692.53,nonwex2_6.png
1,1,35,1,1,1,722.39,nonwin6.png
1,1,36,1,1,1,504.23,nonwin2_1.png
1,1,37,2,1,0,550.1,nonwex2.png
1,1,38,1,2,0,844.02,nonwin1.png
1,1,39,1,1,1,716.58,nonwin12.png
1,1,40,2,1,0,690.45,nonwex9.png
1,1,41,1,1,1,616.26,nonwex2_1.png
1,1,42,1,1,1,742.16,nonwin2.png
1,1,43,2,1,0,460,nonwin4.png
1,1,44,2,2,1,1113.98,nonwex2_4.png
1,1,45,3,2,0,751.83,nonwin4.png
1,1,46,1,1,1,669.69,nonwex7.png
1,1,47,2,2,1,707.52,nonwex2_6.png
1,1,48,1,1,1,689.43,nonwex2_2.png
1,1,49,2,2,1,607.31,nonwex11.png
1,1,50,3,3,1,973.19,nonwex2_6.png
1,1,51,1,1,1,677.71,nonwin2_3.png
1,1,52,2,2,1,827.57,nonwex5.png
1,1,53,3,1,0,569.48,nonwex2_5.png
1,1,54,2,1,0,711.35,nonwex2_10.png
1,1,55,1,1,1,839.93,nonwin2_9.png
