SID,Trial,Familiarity,Repetition,AscLoc,SrcResp,Corr,RT,Confident,ImgName
1,1,1,2,3,3,1,4298.98,4,famous_male05.jpg
1,2,1,2,2,2,1,6481.67,4,famous_female07.jpg
1,3,2,2,3,2,0,1785.72,4,unknown_female16.jpg
1,4,2,1,3,3,1,2810.77,4,unknown_female05.jpg
1,5,1,1,1,1,1,3664.46,4,famous_female16.jpg
1,6,1,1,1,1,1,1306.58,4,famous_female09.jpg
1,7,1,1,3,3,1,7536.23,2,famous_male10.jpg
1,8,2,2,3,2,0,1784.38,4,unknown_male03.jpg
1,9,1,2,4,4,1,1619.08,4,famous_male15.jpg
1,10,2,2,4,1,0,5836.63,1,unknown_female01.jpg
1,11,1,2,4,4,1,1756.78,4,famous_female15.jpg
1,12,1,2,1,2,0,31492.24,1,famous_male02.jpg
1,13,2,2,4,2,0,1544.06,4,unknown_male20.jpg
1,14,2,1,1,1,1,9058.24,1,unknown_female04.jpg
1,15,2,1,4,4,1,6718.26,4,unknown_male01.jpg
1,16,1,1,4,4,1,2426.52,4,famous_female04.jpg
1,17,1,2,2,3,0,18127.02,1,famous_male04.jpg
1,18,2,2,3,4,0,2256.42,3,unknown_male16.jpg
1,19,1,1,2,2,1,3528.26,4,famous_male06.jpg
1,20,2,2,4,3,0,12875.78,1,unknown_female18.jpg
1,21,2,2,1,1,1,67717.3,2,unknown_female03.jpg
1,22,1,1,3,3,1,16216.31,2,famous_female01.jpg
1,23,1,2,3,2,0,8383.45,2,famous_female19.jpg
1,24,1,1,4,1,0,9407.53,1,famous_male01.jpg
1,25,2,1,3,2,0,4879.29,3,unknown_female15.jpg
1,26,2,2,4,2,0,1478.25,4,unknown_female13.jpg
1,27,1,1,2,2,1,910.14,4,famous_male18.jpg
1,28,2,1,4,4,1,3863.13,4,unknown_female09.jpg
1,29,2,2,3,3,1,13980.6,1,unknown_female08.jpg
1,30,1,1,3,4,0,24878.58,2,famous_male20.jpg
1,31,2,1,2,2,1,1241.63,4,unknown_male18.jpg
1,32,2,1,2,2,1,3233.13,4,unknown_female19.jpg
1,33,1,1,1,3,0,3918.09,3,famous_female12.jpg
1,34,1,2,4,3,0,8113.6,2,famous_female06.jpg
1,35,1,1,4,2,0,4619.41,4,famous_female05.jpg
1,36,2,1,4,4,1,3222.47,4,unknown_female07.jpg
1,37,1,2,4,4,1,819.46,4,famous_male16.jpg
1,38,1,2,2,2,1,1376.65,4,famous_male09.jpg
1,39,2,1,1,2,0,1249.89,4,unknown_male11.jpg
1,40,2,2,2,2,1,1900.19,4,unknown_male12.jpg
1,41,2,1,3,4,0,3688.41,2,unknown_male14.jpg
1,42,1,1,4,4,1,1613.95,4,famous_male14.jpg
1,43,2,2,2,2,1,1864.47,4,unknown_male15.jpg
1,44,2,2,1,3,0,7096.89,2,unknown_female17.jpg
1,45,1,1,2,2,1,2105.39,4,famous_female03.jpg
1,46,2,2,1,3,0,12824.76,1,unknown_male07.jpg
1,47,2,1,1,4,0,2396.21,3,unknown_female02.jpg
1,48,1,1,4,2,0,5248.75,2,famous_female13.jpg
1,49,2,1,2,2,1,1218.22,4,unknown_male19.jpg
1,50,1,2,1,1,1,1595.78,4,famous_male17.jpg
1,51,2,1,1,3,0,8866.22,3,unknown_male04.jpg
1,52,1,2,2,1,0,9027.42,4,famous_female14.jpg
1,53,1,2,4,4,1,2544.93,4,famous_female17.jpg
1,54,1,1,1,1,1,1732.81,4,famous_male13.jpg
1,55,2,1,3,3,1,3747.37,3,unknown_male08.jpg
1,56,1,2,1,1,1,3615.58,3,famous_female08.jpg
1,57,1,1,3,1,0,5066.37,3,famous_female10.jpg
1,58,2,1,2,2,1,28377.78,3,unknown_male05.jpg
1,59,2,2,3,4,0,1758.43,4,unknown_male13.jpg
1,60,1,2,1,3,0,14168.27,2,famous_female02.jpg
1,61,2,1,4,4,1,3218.94,4,unknown_male17.jpg
1,62,2,2,1,3,0,15847.52,1,unknown_female11.jpg
1,63,2,1,3,3,1,3994.63,3,unknown_male06.jpg
1,64,1,2,3,3,1,1291.05,4,famous_male19.jpg
1,65,1,2,3,3,1,1747.3,4,famous_male07.jpg
1,66,1,1,2,2,1,2004.05,4,famous_male11.jpg
1,67,2,2,4,4,1,12243.55,2,unknown_male10.jpg
1,68,1,2,3,4,0,37043.62,2,famous_female11.jpg
1,69,1,2,1,1,1,1650.77,4,famous_female18.jpg
1,70,2,1,4,2,0,4306.52,3,unknown_female14.jpg
1,71,2,1,2,4,0,3397.03,1,unknown_female06.jpg
1,72,2,1,1,1,1,3581.39,2,unknown_female20.jpg
1,73,1,1,3,3,1,1643.69,4,famous_male12.jpg
1,74,1,2,2,4,0,28239.33,1,famous_male08.jpg
1,75,1,1,1,1,1,3162.99,4,famous_male03.jpg
1,76,2,2,2,2,1,2301.28,4,unknown_female12.jpg
1,77,2,2,2,2,1,1908.41,1,unknown_male02.jpg
1,78,2,2,1,1,1,1841.8,4,unknown_male09.jpg
1,79,2,2,2,2,1,1291.92,4,unknown_female10.jpg
1,80,1,1,2,2,1,4663.28,3,famous_female20.jpg
2,1,2,2,1,4,0,5323.57,2,unknown_female15.jpg
2,2,1,1,1,1,1,1666.65,4,famous_female12.jpg
2,3,2,2,2,3,0,4083.69,1,unknown_male13.jpg
2,4,2,1,4,2,0,4547.04,3,unknown_female12.jpg
2,5,2,2,1,4,0,7389.16,3,unknown_male05.jpg
2,6,1,2,4,4,1,897.83,4,famous_male05.jpg
