SID,Familiarity,Trial,Repetition,Loc,Resp,Corr,RT,ImgName
1,1,1,1,4,4,1,1570.07,wordin4.png
1,2,2,2,4,4,1,1535.69,nonwin2_8.png
1,2,3,1,4,4,1,1589.25,nonwin1.png
1,2,4,2,3,3,1,1498.8,nonwex2_12.png
1,2,5,2,1,1,1,1664.35,nonwin3.png
1,1,6,2,1,1,1,1229.91,wordex8.png
1,2,7,1,2,2,1,1459.54,nonwex8.png
1,2,8,2,4,4,1,1329.01,nonwex9.png
1,2,9,1,4,4,1,1270.53,nonwex2_2.png
1,2,10,2,1,1,1,1180.12,nonwin7.png
1,2,11,2,1,1,1,1401.7,nonwin2_6.png
1,2,12,2,2,2,1,1191.23,nonwin11.png
1,1,13,1,3,3,1,1172.73,wordex2_9.png
1,2,14,2,2,2,1,1362.34,nonwin6.png
1,1,15,2,2,2,1,1079.88,wordex7.png
1,2,16,1,1,1,1,1453.39,nonwin2_7.png
1,1,17,2,1,1,1,1042.98,wordin2_10.png
1,2,18,1,1,1,1,1224.55,nonwin2_1.png
1,1,19,2,4,4,1,1326.05,wordex2_8.png
1,1,20,1,3,3,1,627.65,wordex2_4.png
1,1,21,1,2,2,1,1593.17,wordex11.png
1,1,22,2,2,2,1,2758.75,wordin7.png
1,2,23,2,3,3,1,1420.32,nonwex10.png
1,2,24,2,2,2,1,1529.85,nonwex2_7.png
1,2,25,1,3,3,1,1191.41,nonwex2_5.png
1,1,26,2,2,2,1,1124.91,wordex4.png
1,1,27,1,4,4,1,1050.52,wordin5.png
1,2,28,2,3,3,1,1120.04,nonwex3.png
1,2,29,2,2,2,1,1317.58,nonwin2_5.png
1,1,30,2,4,4,1,1867.05,wordin11.png
1,1,31,1,4,4,1,1064.74,wordin2_2.png
1,2,32,2,1,1,1,1094.26,nonwin2_9.png
1,1,33,2,3,3,1,1467.77,wordin2.png
1,1,34,2,2,2,1,969.39,wordex2_2.png
1,2,35,2,4,4,1,1246.91,nonwex2_11.png
1,1,36,2,3,3,1,1244.5,wordin2_5.png
1,2,37,2,4,4,1,1385.93,nonwex11.png
1,1,38,2,4,4,1,1175.6,wordin3.png
1,2,39,1,4,4,1,1341.14,nonwin10.png
1,1,40,2,4,4,1,850.7,wordex6.png
1,2,41,1,1,1,1,984.28,nonwex6.png
1,2,42,1,4,4,1,1925.78,nonwin5.png
1,1,43,2,1,1,1,1507.34,wordin2_9.png
1,1,44,2,3,3,1,2448.86,wordin2_6.png
1,1,45,1,4,4,1,1526.44,wordex2_3.png
1,1,46,2,1,1,1,1267.99,wordin2_11.png
1,1,47,1,3,3,1,1089.54,wordex9.png
1,1,48,1,1,1,1,1343.13,wordex2_12.png
1,2,49,2,4,4,1,1460.68,nonwin2_3.png
1,1,50,1,1,1,1,2186.24,wordin2_12.png
1,2,51,1,2,2,1,1007.78,nonwin2_2.png
1,1,52,2,3,3,1,917.33,wordex10.png
1,2,53,1,2,2,1,1018.89,nonwin4.png
1,1,54,1,3,3,1,1192.47,wordin2_7.png
1,1,55,1,1,1,1,1182.01,wordex2_5.png
1,1,56,1,2,2,1,1187.56,wordex12.png
1,2,57,2,3,3,1,1048.92,nonwex1.png
1,1,58,2,3,3,1,1542.66,wordex2_7.png
1,2,59,2,3,3,1,972.22,nonwin2.png
1,2,60,1,1,1,1,1569.68,nonwex2_1.png
1,1,61,2,2,2,1,1375.32,wordin9.png
1,2,62,1,2,2,1,1644.87,nonwex7.png
1,1,63,2,1,1,1,2634.42,wordex2_1.png
1,2,64,1,1,1,1,976,nonwex5.png
1,1,65,1,2,2,1,1021.53,wordex2.png
1,1,66,1,4,4,1,1123.08,wordex1.png
1,2,67,1,2,2,1,1496.64,nonwin2_12.png
1,2,68,1,3,3,1,1398.19,nonwex2_6.png
1,2,69,2,2,2,1,1131.75,nonwin2_11.png
1,2,70,1,3,3,1,1001.29,nonwex12.png
1,1,71,1,2,2,1,798.85,wordin12.png
1,2,72,1,3,3,1,772.4,nonwex2_10.png
1,2,73,1,3,3,1,905.95,nonwex2_4.png
1,2,74,1,4,4,1,1223.49,nonwin12.png
1,1,75,2,4,4,1,1156.99,wordex5.png
1,1,76,1,1,1,1,1266.59,wordex2_11.png
1,1,77,1,2,2,1,1240.18,wordin2_4.png
1,2,78,2,1,1,1,1493.73,nonwex2_9.png
1,1,79,1,1,1,1,1155.2,wordin6.png
1,1,80,1,3,3,1,1120.79,wordex2_6.png
2,2,1,1,4,4,1,725.76,nonwin9.png
2,2,2,2,3,3,1,827.32,nonwex10.png
2,2,3,1,4,4,1,632.9,nonwex2_3.png
2,1,4,2,1,1,1,758.43,wordin2_8.png
2,1,5,1,1,1,1,547.97,wordin2_10.png
2,2,6,1,4,4,1,865.52,nonwin2_8.png
2,1,7,1,3,3,1,775.08,wordex3.png
2,2,8,1,2,2,1,572.64,nonwin1.png
2,1,9,2,2,2,1,562.22,wordin2_3.png
2,2,10,1,1,1,1,519.75,nonwex2_7.png
2,2,11,2,4,4,1,1093.28,nonwin2_10.png
2,2,12,2,1,1,1,650.84,nonwin10.png
2,2,13,2,4,4,1,552.4,nonwin2_3.png
2,2,14,2,2,2,1,742.01,nonwex7.png
2,1,15,2,1,1,1,624.01,wordex7.png
2,2,16,2,3,3,1,1117.57,nonwex2_2.png
2,1,17,1,2,2,1,515.12,wordin5.png
2,2,18,2,1,1,1,1032.7,nonwex9.png
2,1,19,2,4,4,1,830.23,wordin2_1.png
2,1,20,2,2,2,1,1267.8,wordin12.png
2,1,21,2,4,4,1,1345.33,wordex2_12.png
2,1,22,1,2,2,1,902.83,wordex5.png
2,2,23,1,2,2,1,660.44,nonwex2_11.png
2,1,24,1,4,4,1,1121.99,wordin2_11.png
2,2,25,2,3,3,1,967.57,nonwin2_12.png
2,2,26,1,3,3,1,1341.1,nonwex2_9.png
2,2,27,2,1,1,1,1138.66,nonwin2_2.png
2,2,28,1,2,2,1,936.2,nonwex6.png
2,1,29,2,3,3,1,605.76,wordin4.png
2,2,30,2,2,2,1,779.31,nonwin2_11.png
2,2,31,2,4,4,1,712.89,nonwin2_7.png
2,1,32,1,1,1,1,758.42,wordex2_3.png
2,2,33,1,2,2,1,779.95,nonwin2.png
2,1,34,2,2,2,1,1201.52,wordin2_5.png
2,1,35,2,1,1,1,1431.08,wordex2.png
2,2,36,1,3,3,1,860.61,nonwin8.png
2,1,37,2,1,1,1,754.18,wordin1.png
2,1,38,1,1,1,1,823.71,wordex12.png
2,2,39,1,2,2,1,725.29,nonwex1.png
2,2,40,1,3,3,1,714.84,nonwin2_5.png
2,1,41,2,4,4,1,640.38,wordin10.png
2,2,42,1,3,3,1,589.93,nonwin2_1.png
2,2,43,2,4,4,1,587.5,nonwin4.png
2,2,44,2,3,3,1,537.05,nonwex5.png
2,1,45,1,2,2,1,958.61,wordin2_12.png
2,1,46,1,4,4,1,908.16,wordex2_8.png
2,2,47,1,4,4,1,505.71,nonwex12.png
2,1,48,2,3,3,1,431.26,wordex2_1.png
2,1,49,1,1,1,1,884.81,wordex1.png
2,1,50,2,3,3,1,666.36,wordex11.png
2,2,51,2,4,4,1,687.92,nonwin2_4.png
2,2,52,2,3,3,1,653.48,nonwin7.png
2,2,53,2,2,2,1,803.02,nonwex2.png
2,1,54,1,4,4,1,816.59,wordex9.png
2,2,55,1,4,4,1,678.13,nonwex2_10.png
2,2,56,1,1,1,1,907.69,nonwex2_12.png
2,1,57,2,3,3,1,857.24,wordex8.png
2,1,58,2,4,4,1,774.78,wordin7.png
2,1,59,2,2,2,1,548.34,wordin2.png
2,2,60,2,2,2,1,569.9,nonwex8.png
2,2,61,2,1,1,1,767.45,nonwex2_6.png
2,1,62,1,3,3,1,1709.01,wordin2_7.png
2,1,63,2,4,4,1,762.45,wordin3.png
2,1,64,1,4,4,1,1000.11,wordex2_5.png
2,1,65,1,2,2,1,805.66,wordex6.png
2,2,66,2,1,1,1,851.21,nonwin12.png
2,1,67,1,3,2,0,640.76,wordex4.png
2,1,68,2,3,3,1,766.32,wordex2_6.png
2,2,69,1,1,1,1,635.88,nonwex3.png
2,2,70,1,1,1,1,777.5,nonwin5.png
2,1,71,1,3,3,1,750.98,wordin6.png
2,2,72,1,1,1,1,676.53,nonwin6.png
2,1,73,1,4,4,1,562.09,wordin11.png
2,1,74,1,1,1,1,399.63,wordin8.png
2,1,75,1,2,2,1,597.18,wordex2_10.png
2,2,76,1,3,3,1,1402.73,nonwex2_1.png
2,1,77,2,1,1,1,496.25,wordin2_4.png
