SID,Trial,Familiarity,Repetition,AscLoc,SrcResp,Corr,RT,Confident,ImgName
1,1,1,2,1,1,1,1716.78,4,wordin2_9.png
1,2,2,1,1,2,0,2135.08,1,nonwin2_7.png
1,3,1,1,4,4,1,1304.7,4,wordex1.png
1,4,1,1,3,1,0,2200.39,1,wordin2_7.png
1,5,2,1,1,1,1,1141.3,1,nonwin2_1.png
1,6,1,2,3,3,1,1313.64,1,wordin2_5.png
1,7,1,2,1,1,1,1320.04,4,wordex8.png
1,8,1,2,2,2,1,1147.39,1,wordex4.png
1,9,1,1,4,1,0,1877.54,1,wordex2_3.png
1,10,2,1,4,1,0,1539.58,1,nonwin5.png
1,11,1,1,2,1,0,1065.85,3,wordex12.png
1,12,1,2,4,4,1,1478.15,4,wordex2_8.png
1,13,2,2,4,4,1,1390.66,4,nonwex11.png
1,14,2,1,2,1,0,1296.84,2,nonwex8.png
1,15,2,1,2,2,1,1124.71,4,nonwex7.png
1,16,2,2,1,3,0,1000.03,1,nonwin2_6.png
1,17,2,2,3,3,1,1157.51,3,nonwex10.png
1,18,1,1,2,2,1,1092.57,4,wordex2.png
1,19,2,2,4,1,0,1026,1,nonwex9.png
1,20,1,1,1,2,0,1725.05,3,wordin2_12.png
1,21,2,1,4,1,0,1129.28,1,nonwex2_2.png
1,22,1,1,3,1,0,1040.12,1,wordex9.png
1,23,2,2,2,1,0,651.84,1,nonwin2_5.png
1,24,1,2,3,3,1,1218.45,1,wordin2_6.png
1,25,1,1,3,3,1,1096.54,4,wordex2_4.png
1,26,2,1,1,1,1,966.24,4,nonwex2_1.png
1,27,1,1,4,1,0,1714.69,1,wordin5.png
1,28,2,1,2,1,0,1187.81,1,nonwin2_2.png
1,29,2,2,4,1,0,721.25,1,nonwin2_3.png
1,30,2,1,2,2,1,845.04,4,nonwin2_12.png
1,31,1,1,3,3,1,970.83,4,wordex2_9.png
1,32,2,1,3,3,1,1332.15,3,nonwex2_10.png
1,33,1,1,2,2,1,1664.79,4,wordex11.png
1,34,1,2,2,2,1,1889.6,4,wordin9.png
1,35,1,2,4,4,1,1089.38,4,wordin3.png
1,36,2,2,1,4,0,1919.85,3,nonwin3.png
1,37,2,1,1,2,0,5173.46,3,nonwex6.png
1,38,1,2,4,2,0,14.2,1,wordex6.png
1,39,2,1,3,4,0,1090.32,4,nonwex2_5.png
1,40,2,2,4,4,1,1798.37,4,nonwin2_8.png
1,41,2,2,3,3,1,1179.74,1,nonwex3.png
1,42,2,1,4,4,1,1067.6,4,nonwin12.png
1,43,1,1,1,1,1,765.61,4,wordex2_11.png
1,44,1,2,2,2,1,1157.9,4,wordin7.png
1,45,2,2,4,3,0,913.22,1,nonwex2_11.png
1,46,2,2,1,1,1,827.94,4,nonwin7.png
1,47,2,2,2,3,0,1069.63,1,nonwin6.png
1,48,1,1,4,1,0,1517.46,4,wordin4.png
1,49,1,1,2,2,1,955.25,4,wordin2_4.png
1,50,1,1,3,3,1,1213.87,4,wordex2_6.png
1,51,1,2,4,4,1,1239.49,4,wordex5.png
1,52,1,1,4,4,1,1601.04,4,wordin2_2.png
1,53,1,1,1,3,0,1369.22,1,wordex2_12.png
1,54,1,2,1,1,1,2848.06,1,wordex2_1.png
1,55,2,1,3,2,0,1102.57,4,nonwex2_6.png
1,56,2,1,1,1,1,839.85,4,nonwex5.png
1,57,2,2,2,2,1,1435.97,4,nonwin2_11.png
1,58,2,1,3,2,0,1452.79,4,nonwex12.png
1,59,2,1,2,1,0,1275.9,1,nonwin4.png
1,60,2,1,4,2,0,843.73,1,nonwin10.png
1,61,1,1,1,1,1,1029.39,4,wordin6.png
1,62,2,2,3,3,1,1327.43,4,nonwex2_12.png
1,63,2,2,1,1,1,988.78,1,nonwex2_9.png
1,64,1,2,4,2,0,1823.55,4,wordin11.png
1,65,2,2,1,3,0,867.48,1,nonwin2_9.png
1,66,1,2,2,2,1,1549.5,4,wordex2_2.png
1,67,1,1,1,1,1,881.12,1,wordex2_5.png
1,68,1,2,1,2,0,1017.42,1,wordin2_11.png
1,69,2,2,2,1,0,969.26,1,nonwex2_7.png
1,70,1,2,3,1,0,1023.43,1,wordex10.png
1,71,2,1,4,1,0,1080.61,1,nonwin1.png
1,72,2,2,2,1,0,526.4,1,nonwin11.png
1,73,2,2,3,1,0,594.53,1,nonwin2.png
1,74,2,2,3,3,1,2064.17,4,nonwex1.png
1,75,1,1,2,3,0,1037.41,4,wordin12.png
1,76,1,2,2,2,1,1022.03,4,wordex7.png
1,77,1,2,3,3,1,1081.43,4,wordin2.png
1,78,1,2,3,3,1,999.95,4,wordex2_7.png
1,79,1,2,1,2,0,1172.74,4,wordin2_10.png
1,80,2,1,3,3,1,1261.64,3,nonwex2_4.png
2,1,1,1,3,3,1,3572.25,3,wordin2_7.png
2,2,1,2,1,4,0,9094.49,2,wordex7.png
2,3,2,2,1,2,0,2377.11,1,nonwin2_2.png
