sn,age,sex,cond,reptime,trial,repcond,imcat,imnum,loc,resp,corr,rt,imname
 1,25,2,1, 1, 1,1,2, 6,3,2,1,609.87,unknown_female06.jpg
 1,25,2,1, 1, 2,1,1,12,2,1,1,585.12,unknown_male12.jpg
 1,25,2,1, 1, 3,1,2,18,4,2,1,481.17,unknown_female18.jpg
 1,25,2,1, 1, 4,1,1,13,3,1,1,537.09,unknown_male13.jpg
 1,25,2,1, 1, 5,1,1,17,1,1,1,521.08,unknown_male17.jpg
 1,25,2,1, 1, 6,1,2,21,4,2,1,833.08,unknown_female21.jpg
 1,25,2,1, 1, 7,1,2,16,3,2,1,665.08,unknown_female16.jpg
 1,25,2,1, 1, 8,1,2,12,2,1,2,896.13,unknown_female12.jpg
 1,25,2,1, 1, 9,1,1,14,4,1,1,984.78,unknown_male14.jpg
 1,25,2,1, 1,10,1,2, 5,1,2,1,600.09,unknown_female05.jpg
 1,25,2,1, 1,11,1,2,22,3,2,1,680.04,unknown_female22.jpg
 1,25,2,1, 1,12,1,1,15,4,1,1,552.01,unknown_male15.jpg
 1,25,2,1, 1,13,1,2, 4,2,2,1,719.97,unknown_female04.jpg
 1,25,2,1, 1,14,1,1,16,3,1,1,536.96,unknown_male16.jpg
 1,25,2,1, 1,15,1,1, 1,2,1,1,744.95,unknown_male01.jpg
 1,25,2,1, 1,16,1,1, 9,2,1,1,487.95,unknown_male09.jpg
 1,25,2,1, 1,17,1,2,19,4,2,1,655.97,unknown_female19.jpg
 1,25,2,1, 1,18,1,1, 4,3,1,1,656.90,unknown_male04.jpg
 1,25,2,1, 1,19,1,1,22,4,1,1,416.87,unknown_male22.jpg
 1,25,2,1, 1,20,1,2, 1,1,2,1,472.94,unknown_female01.jpg
 1,25,2,1, 1,21,1,2,23,1,2,1,576.86,unknown_female23.jpg
 1,25,2,1, 1,22,1,1,20,1,1,1,631.95,unknown_male20.jpg
 1,25,2,1, 1,23,1,2,14,2,2,1,560.82,unknown_female14.jpg
 1,25,2,1, 1,24,1,1,21,1,1,1,623.86,unknown_male21.jpg
 1,25,2,1, 2, 1,1,2, 6,3,2,1,831.16,unknown_female06.jpg
 1,25,2,1, 2, 2,1,1,20,1,1,1,678.48,unknown_male20.jpg
 1,25,2,1, 2, 3,1,2,23,1,2,1,631.13,unknown_female23.jpg
 1,25,2,1, 2, 4,1,2,19,4,2,1,559.12,unknown_female19.jpg
 1,25,2,1, 2, 5,1,1,16,3,1,1,623.10,unknown_male16.jpg
 1,25,2,1, 2, 6,1,2,18,4,2,1,463.08,unknown_female18.jpg
 1,25,2,1, 2, 7,1,1, 1,2,1,1,559.08,unknown_male01.jpg
 1,25,2,1, 2, 8,1,1, 9,2,1,1,727.06,unknown_male09.jpg
 1,25,2,1, 2, 9,1,1,22,4,1,1,655.04,unknown_male22.jpg
 1,25,2,1, 2,10,1,1,12,2,1,1,622.09,unknown_male12.jpg
 1,25,2,1, 2,11,1,1,15,4,1,1,671.05,unknown_male15.jpg
 1,25,2,1, 2,12,1,2,16,3,2,1,471.00,unknown_female16.jpg
 1,25,2,1, 2,13,1,2,12,2,2,1,1126.05,unknown_female12.jpg
 1,25,2,1, 2,14,1,1,14,4,1,1,590.98,unknown_male14.jpg
 1,25,2,1, 2,15,1,2,21,4,2,1,662.96,unknown_female21.jpg
 1,25,2,1, 2,16,1,1,17,1,1,1,1253.99,unknown_male17.jpg
 1,25,2,1, 2,17,1,1, 4,3,1,1,894.92,unknown_male04.jpg
 1,25,2,1, 2,18,1,2, 5,1,2,1,549.93,unknown_female05.jpg
