sn,age,sex,cond,trial,repcond,imcat,imnum,loc,resp,srccorr,rt,conf,confrt,imname,dum
1,25,2,1,1,2,2,3,2,1,2,6357.03,1,1945.56,unknown_female03.jpg,0
1,25,2,1,2,2,1,18,4,1,2,5074.45,1,1132.84,unknown_male18.jpg,0
1,25,2,1,3,1,2,4,2,2,1,2951.22,1,226.31,unknown_female04.jpg,0
1,25,2,1,4,2,2,11,1,2,2,1915.16,4,1353.66,unknown_female11.jpg,0
1,25,2,1,5,2,1,7,2,2,1,1394.97,4,199.22,unknown_male07.jpg,0
1,25,2,1,6,2,1,24,1,1,1,4896.78,1,298.82,unknown_male24.jpg,0
1,25,2,1,7,1,1,15,4,3,2,2480.14,4,263.62,unknown_male15.jpg,0
1,25,2,1,8,2,1,6,4,1,2,1822.36,1,185,unknown_male06.jpg,0
1,25,2,1,9,2,1,8,2,2,1,1859.31,4,516.56,unknown_male08.jpg,0
1,25,2,1,10,1,2,23,1,1,1,3616.87,4,127.99,unknown_female23.jpg,0
1,25,2,1,11,1,1,16,3,3,1,1837.04,1,2927.03,unknown_male16.jpg,0
1,25,2,1,12,1,2,18,4,3,2,4358.66,3,575.06,unknown_female18.jpg,0
1,25,2,1,13,1,1,17,1,1,1,3737.22,1,347.61,unknown_male17.jpg,0
1,25,2,1,14,2,2,10,2,1,2,2054.84,1,175.72,unknown_female10.jpg,0
1,25,2,1,15,2,2,7,2,2,1,3378.63,4,412.3,unknown_female07.jpg,0
1,25,2,1,16,2,2,2,4,1,2,1628.83,1,47.87,unknown_female02.jpg,0
1,25,2,1,17,2,2,8,4,1,2,4055.77,1,132.72,unknown_female08.jpg,0
1,25,2,1,18,2,2,13,3,1,2,1897.14,1,136.26,unknown_female13.jpg,0
1,25,2,1,19,2,1,3,1,1,1,1244.67,1,111.78,unknown_male03.jpg,0
1,25,2,1,20,2,1,23,3,1,2,1788.88,1,25.01,unknown_male23.jpg,0
1,25,2,1,21,1,2,19,4,4,1,5514.23,4,226.35,unknown_female19.jpg,0
1,25,2,1,22,1,2,16,3,3,1,1355.28,4,57.48,unknown_female16.jpg,0
1,25,2,1,23,1,2,5,1,3,2,3081.39,3,687.66,unknown_female05.jpg,0
1,25,2,1,24,1,1,1,2,2,1,4324.85,1,54.75,unknown_male01.jpg,0
1,25,2,1,25,2,2,24,4,1,2,1166.59,1,60.52,unknown_female24.jpg,0
1,25,2,1,26,1,2,14,2,3,2,5779.61,1,280.63,unknown_female14.jpg,0
1,25,2,1,27,1,2,6,3,3,1,1302.74,4,255.07,unknown_female06.jpg,0
1,25,2,1,28,1,1,22,4,2,2,1526.57,4,69.8,unknown_male22.jpg,0
1,25,2,1,29,1,1,12,2,4,2,4212.96,1,27.66,unknown_male12.jpg,0
1,25,2,1,30,2,1,19,3,2,2,3052.9,1,91.9,unknown_male19.jpg,0
1,25,2,1,31,2,2,15,3,1,2,2290.4,4,489.44,unknown_female15.jpg,0
1,25,2,1,32,1,2,21,4,1,2,1895.15,1,183.06,unknown_female21.jpg,0
1,25,2,1,33,2,1,10,3,1,2,5097.27,1,170.9,unknown_male10.jpg,0
1,25,2,1,34,2,1,5,4,2,2,2909.84,4,947.17,unknown_male05.jpg,0
1,25,2,1,35,1,1,21,1,1,1,3109.27,1,10.05,unknown_male21.jpg,0
1,25,2,1,36,1,1,9,2,1,2,1123.99,1,4.04,unknown_male09.jpg,0
1,25,2,1,37,2,2,9,3,1,2,1270.02,1,1719.72,unknown_female09.jpg,0
1,25,2,1,38,2,2,17,1,1,1,1161.7,1,168.34,unknown_female17.jpg,0
1,25,2,1,39,2,1,11,1,2,2,7603.37,2,1636.19,unknown_male11.jpg,0
1,25,2,1,40,2,1,2,2,2,1,3913.62,4,172.83,unknown_male02.jpg,0
1,25,2,1,41,1,2,12,2,3,2,1759.81,2,181.28,unknown_female12.jpg,0
1,25,2,1,42,1,1,14,4,2,2,2991.55,2,25.31,unknown_male14.jpg,0
1,25,2,1,43,2,2,20,1,1,1,1562.51,4,271.71,unknown_female20.jpg,0
1,25,2,1,44,1,1,13,3,2,2,1174.54,4,540.43,unknown_male13.jpg,0
1,25,2,1,45,1,1,20,1,2,2,1896.04,1,167.97,unknown_male20.jpg,0
1,25,2,1,46,1,2,22,3,2,2,1178.91,1,248.17,unknown_female22.jpg,0
1,25,2,1,47,1,2,1,1,1,1,1407.62,4,739.74,unknown_female01.jpg,0
1,25,2,1,48,1,1,4,3,2,2,4110.97,2,377.83,unknown_male04.jpg,0
2,25,1,2,1,1,2,6,4,1,2,2346.47,3,1823.49,famous_female06.jpg,0
2,25,1,2,2,2,2,7,4,2,2,3092.53,2,242.1,famous_female07.jpg,0
2,25,1,2,3,2,2,9,3,3,1,1121.6,4,353.61,famous_female09.jpg,0
2,25,1,2,4,2,2,17,4,4,1,1460.92,4,31.01,famous_female17.jpg,0
2,25,1,2,5,2,1,20,4,4,1,639.53,4,531.82,famous_male20.jpg,0
2,25,1,2,6,1,1,11,2,1,2,2527.39,2,740.75,famous_male11.jpg,0
